CompanyID,EmployeeCount,Date,RowID,LastUpdated
95803-03,51,11/23/2015,095a37bdea456b6c56adaa05d13941d863677a970e8734c24e59b3860a3bce1b,12/09/2024
95803-03,66,09/07/2021,5ba064e565d4302ce894e557b6f425dd4b02c3d47bb112b2fe244a12b8f5116b,12/09/2024
95803-03,71,03/24/2022,f7a97860649892dbbc7501d9599e2f01606126a5e5fb14e90ceeb26011c7ea87,12/09/2024
95803-03,70,03/14/2023,45a0f42ec00ff453620e752b5a6d9c60238395483587ac37f4bc23a5bcd40c01,12/09/2024
95803-03,86,05/16/2024,edc2475fe0969a4c3ef80566749372d91e2b5db3a207da75142cf53ba7d94d6f,12/09/2024
96220-63,292,09/20/2021,3e6e566ed58e3c6cd02969b865e70d496db9bc6e980d61a0c0c9ef9c8ac060c4,12/09/2024
96220-63,293,03/17/2022,6784af1bbac2550769b37e4b188a46a74c95a50e3454a36647b080c6ead349bd,12/09/2024
96220-63,200,07/02/2024,348a19af8ec2552117a332e4ef6f3fc53c90275a442a180b83a552a96d96ae43,12/09/2024
96313-60,3,05/05/2017,4b139dcb46c43cd65dd5845df41334cd7e39eee8f08fd6da3e6016e54d1600ea,12/09/2024
95849-92,8,10/29/2014,bf1948bd85204fe848c6a718c2d99a0c4f706166180ae20ca1b74408459c78b4,12/09/2024
95849-92,11,11/10/2015,f30882d0c2bf911f2ab3f9c233aa1ca3fdb80e97e87cf1ef9fa97d4379736d5e,12/09/2024
95849-92,7,09/03/2020,ab566b8329e20edae7902ac9bfcd4c0368507a128ab129ccc03e0d001d1c1eb6,12/09/2024
95849-92,19,03/19/2021,e84eda685fa45da96202f3d90c724ecc5ddfbd5c70b3af75402119f94d005662,12/09/2024
95849-92,33,10/13/2021,09f1f70a772467dfc973e7196a8961ed5a7e8976020fb6a280ea00bda67f231f,12/09/2024
95849-92,29,04/11/2022,0153b6ebd70a32f44b9a26613850732294a21038467ffd6b88c454b56b613cfd,12/09/2024
95849-92,36,11/04/2022,a21a48b73f680a9a1746124f172e8aeb99024ad7bede029113fe5d060173a52d,12/09/2024
95849-92,40,05/22/2023,b18901cbff1458ce5a17a03205083e877ba91ee18e03ebe34c3267578f794c14,12/09/2024
