CompanyID,EntityType,IsPrimary,RowID,LastUpdated
11451-07,Company,Yes,36ca4bde5e42d1da51052f758a4b45b08a8e8b15d7efe4effcc1c0378aaee4d3,12/09/2024
12134-44,Investor,No,776a22ce24fb9891cd7cf58d6f81a262bca84d6b70225e1b59e4b5ed714e9e33,12/09/2024
12134-44,Company,Yes,1b403ddcf1605387bcc9dfd55acfc1f9ac16d43f5e075a141184ffd865a6636c,12/09/2024
12256-48,Company,Yes,4be5eb233b34b0b4a0571d05977e551bc19dad1e748689e7a293ef697c2ee303,12/09/2024
12256-75,Company,Yes,ecc2171c35e0aaeb2b4246365b922055cec35a8df09a3174d8cdfd945b66350c,12/09/2024
12817-09,Investor,No,de33e4b4fa4591215f3293892b311450ce9a0a8bdef1664d9550ea085494b56b,12/09/2024
12817-09,Company,Yes,7f9beae0506e21a0fe66755abd6436caafa9a19ddcb96b5f2681faefb9a6f65d,12/09/2024
13302-73,Company,Yes,83b10026b91125438b1c9f9cfffc7c2090fc621f8e42e3622b542dc9ba939a45,12/09/2024
13411-00,Company,Yes,cf029dfc93779b5aacb0bcd0905e3190cc7bdba39eddf8c1ace7d25567ffc63b,12/09/2024
14184-46,Investor,No,f29cb12201cbd6fb18023d6b6b82fd3ad26063ecc8b42ad6e0de6e90a86ee68f,12/09/2024
14184-46,Company,Yes,19ecc9adf65e3b1621b2160a79d511fc2c66dc62f48e53def66c0461eff36883,12/09/2024
42056-74,Investor,No,11250fe8b7ba66a0bbebec19b2ed3c95ee7a1586cb3ecccf824eb4960f8d9ac3,12/09/2024
42056-74,Service Provider,No,585f071d0808b198906d171744b6ff6c5a4239afb32719aaa41a36605d284e2d,12/09/2024
42056-74,Company,Yes,edf1025db4c04a038039f1ed9e6d1473e8c1c03fc6b1d66b61a61af4c7812699,12/09/2024
42197-50,Company,Yes,47b50e4958973ad0c58f00b81e4aee361b675b4b65bcf306df266522a039e75b,12/09/2024
42717-70,Company,Yes,9e37453f36a811ee6091cdfa607a7dd37d24e8ae467f4df627513c4ce1275504,12/09/2024
42921-01,Investor,No,7a2610f77eefb167bd5d4d7abfd689035db3b9aea36d1f27e17ebae3412ec8d9,12/09/2024
42921-01,Company,Yes,6b2a06f4253f6a079b4f81e71fb613bfbde929edd54f1acea1e463a45c830b04,12/09/2024
51051-70,Investor,No,c6728739e9494e9e9b954541f3dc3f29473c2aa5ac236274d47ca0e4ff4d97c1,12/09/2024
51051-70,Company,Yes,5e9d370d9ae2e81e9a65a5b179aacd4e45bd8959a3b002928ce09baec233004a,12/09/2024
51774-76,Company,Yes,fe9c86bb0733aaa250accb93b0756fc109b19e069ccda6d6bc62b10e3d056362,12/09/2024
52105-33,Investor,No,d59f571dd32c8b5c1178dcd2b570c3eda9c2203055f4c37e28a8ca2c39411c7e,12/09/2024
52105-33,Company,Yes,e813627baf107e11aeff255877b497ed06b8d1ab01bfcc38fe4459c3639c46ce,12/09/2024
52161-58,Investor,Yes,deb4d034aea0621f3c09bb3098e9315f9e937f49d04d02442c74d5fdda20744e,12/09/2024
52161-58,Company,No,c2ee3efd830306579e887da22972e51d27fa29a067216ef7626ae8a752dba26f,12/09/2024
52235-47,Investor,No,0299eec55ae2d9b80f204ae3eb3d950fc255b8a3dc072bb8975028a552ce6f5f,12/09/2024
52235-47,Company,Yes,96976b4f2735a41d8325c7dc3223429389b046192e09bdd3206a6943fd7a7e50,12/09/2024
52319-80,Investor,No,e59e9fd3059f81b6141f3803e3d5dab2984b113fc257cdb1716375b74682c2ec,12/09/2024
52319-80,Company,Yes,74fd66af485390c3643d4cf5003875637be138e34afbad40514fd174ff23dc5b,12/09/2024
52640-11,Company,Yes,643aa2cdad7bd0d49b229cd32dee720b00da2d52a9a1727d73203982b98ba63f,12/09/2024
52666-48,Investor,No,48e055592bb874ea307ad45c1859d6f6d2704f32b713364dfa3a380840832d7a,12/09/2024
52666-48,Company,Yes,42f3c3748893fa9c06f68d4d11305d9a83da2d9fca4f1582d36ce3e8dafe2e40,12/09/2024
52744-69,Company,Yes,47e15097dd8065b2883eb2d4a1a852feb8f357ec79ffff9e5e2f300f58449f48,12/09/2024
52841-08,Company,Yes,d9e2b9bb146e3cf79980e683efe74c41e75a2f2effadce1056053191c56cdd05,12/09/2024
52938-91,Company,Yes,5aeea37aac0c2cd3af97b36c9c85cab379da4f622b5ad6a1977e3e9e708f04ab,12/09/2024
