CompanyID,IndustrySector,IndustryGroup,IndustryCode,IsPrimary,RowID,LastUpdated
11451-07,Energy,"Exploration, Production and Refining",Energy Production,Yes,0f67078dc86e8623b9a22a1e58f18ad58dc5f814a7531256458c386035cb1eea,12/09/2024
12134-44,Consumer Products and Services (B2C),Services (Non-Financial),Other Services (B2C Non-Financial),No,22239907af3b7342ee5d26baf522b58c785c8f1010cec40e8c024edbc3a7b737,12/09/2024
12134-44,Consumer Products and Services (B2C),Media,Information Services (B2C),Yes,093dd40010fa8473549c6e8b7d54ba02b06ae508250237f1d2251d90a9950187,12/09/2024
12256-48,Consumer Products and Services (B2C),Services (Non-Financial),Other Services (B2C Non-Financial),Yes,e3d9442a66e5d6ea27526a8f7393653ccd49f0d0a1c43de1685bd8436714fa2a,12/09/2024
12256-75,Information Technology,Communications and Networking,Telecommunications Service Providers,Yes,6d19dd7740a4ed170f120335d0368d1658c2d54b01f396fb4dd72ba0f59d9a87,12/09/2024
12817-09,Consumer Products and Services (B2C),Retail,Internet Retail,Yes,44523e45679552b55394a194a7b6f6eca7a531e998642026221941101c755947,12/09/2024
12817-09,Information Technology,Software,Internet Software,No,be6729c0e6ba4f14964edc17e6dfbd4977081e2d7dfe4a2b6bdae50db7d40997,12/09/2024
13302-73,Business Products and Services (B2B),Commercial Services,Other Commercial Services,Yes,f7fcdc1564da32175c97367a10576f25301ac20ea9d31c89582e403346958e9a,12/09/2024
13411-00,Information Technology,Communications and Networking,Telecommunications Service Providers,No,02df2e9fb58511db04e046d5c8e2019e2dd174529dfe737146fa72fc9e2de232,12/09/2024
13411-00,Information Technology,Communications and Networking,Internet Service Providers,Yes,702d0543c40fe7753dd889db6e00ab0e9204677256901e2f7704b2baf844108a,12/09/2024
14184-46,Energy,"Exploration, Production and Refining",Energy Exploration,Yes,97585854869402cf13f9731d483e4831be72de1f7f6c10cc188f99a170ae5dd4,12/09/2024
14184-46,Energy,"Exploration, Production and Refining",Energy Refining,No,2ddd67979caf98b62655704f8504c552780aa09ffd20c34532def20e4e66b2b4,12/09/2024
42056-74,Materials and Resources,"Metals, Minerals and Mining","Other Metals, Minerals and Mining",Yes,e027503d99ad246fab58715df518743e87794271f1fa789f260a5df28dc6ab19,12/09/2024
42197-50,Business Products and Services (B2B),Commercial Services,Logistics,Yes,8a37a00eb032cd93cf30f5051d305c444a40d784a427a58668ba9fdf3543070a,12/09/2024
42717-70,Consumer Products and Services (B2C),Services (Non-Financial),Real Estate Services (B2C),No,ee510648e8550f5b17f2b230c2a215e7ee448404b19882f272c49c3b5d1a93bd,12/09/2024
42717-70,Business Products and Services (B2B),Commercial Services,Construction and Engineering,Yes,88a3dcbaaa67ab68ee5fe0562707dcdc63a4984015de591f60bf78a8d5ef90bc,12/09/2024
42921-01,Consumer Products and Services (B2C),Services (Non-Financial),Educational and Training Services (B2C),Yes,265af25912edb8b99c519171a08122efa373c784bfbdbd7540e7f775dfc6ba41,12/09/2024
51051-70,Materials and Resources,"Metals, Minerals and Mining",Gold Mining,Yes,dfb1d6c7bbae3917d95a94dbafd1547fc8e1187fe127f6af952c69863114656a,12/09/2024
51774-76,Consumer Products and Services (B2C),Consumer Durables,Other Consumer Durables,No,a37d3d2c488aa606cfab59cf9832bf726868db118f15c7b7b2524af5b5ab1e4f,12/09/2024
51774-76,Consumer Products and Services (B2C),Retail,Internet Retail,Yes,a4f67ecddfa0f03c9c70857a01bfd027b1f1962da6063048b4e65ae23278f4de,12/09/2024
51774-76,Consumer Products and Services (B2C),Consumer Durables,Electronics (B2C),No,cb7974683568af81cddf87be3bd47846a824136aae5a369f67db63618008d62c,12/09/2024
52105-33,Materials and Resources,Agriculture,Other Agriculture,Yes,813fa54226949e1c64018e4c0177154bd29e566eacd2ee459515c2aa2acfe22e,12/09/2024
52161-58,Consumer Products and Services (B2C),Media,Information Services (B2C),Yes,1e0a8b05c3668fab3e155028b1deae6f3731b2cec284603e3f46d27ee9d7612c,12/09/2024
52235-47,Healthcare,Healthcare Devices and Supplies,Other Devices and Supplies,No,e347bf61aa8ea917e3e2aab6e1dccff31386bc1434df148c0a3e40961346ae3f,12/09/2024
52235-47,Healthcare,Healthcare Devices and Supplies,Diagnostic Equipment,Yes,bcccc4582f7d675184c83ba467c83d1816fc05ab1abb8f45b2dfe28d137e71be,12/09/2024
52319-80,Information Technology,IT Services,Systems and Information Management,No,53b3b9c7d233415ab2a520e5c65a6311b01ad863e23752bcf51a3a5cf3f01dd4,12/09/2024
52319-80,Information Technology,IT Services,IT Consulting and Outsourcing,Yes,7c208c19faa93fcb0c1383efce42da36aa52ef65f372518934c5f43704b32770,12/09/2024
52640-11,Information Technology,Software,Entertainment Software,Yes,bddb378da24f2b7fddeec0228529fbc1e4b000a3cfc034b0d4d55617532a03d8,12/09/2024
52640-11,Information Technology,Software,Multimedia and Design Software,No,1ee36569182c96db0e915176d3ec6e6e65a9ef5a6d2ea2ca106a8157ce068649,12/09/2024
52640-11,Information Technology,Software,Application Software,No,17fd8e239be4abb7f0d0bcb5086c696061ba94b7a637cc285d8f8f118989153c,12/09/2024
52666-48,Materials and Resources,Agriculture,Cultivation,Yes,1e973365f3e2d2122c8f2530c21d6d45ee46bf224857a5e2c383d8ea35532cc2,12/09/2024
52666-48,Materials and Resources,Agriculture,Animal Husbandry,No,d0c95a54516feee603bb1a65c4980129ea2e4a42bfca778c42495b06f079faf2,12/09/2024
52666-48,Materials and Resources,Agriculture,Other Agriculture,No,53186aec0a8faeaf3c127e3d536e45b91b9dccfe180b5370e3d121eb4f37493d,12/09/2024
52744-69,Consumer Products and Services (B2C),Retail,Specialty Retail,Yes,72f8e6409b71c3f38bca14f4eb58124fe12f7a5e56b95d69b5f5a6c1f6b6b016,12/09/2024
52744-69,Consumer Products and Services (B2C),Retail,Internet Retail,No,af68c660a26aeca35c25f80fb071c83b482a4473a461ddfb566b34735c223256,12/09/2024
52744-69,Consumer Products and Services (B2C),Apparel and Accessories,Footwear,No,6f14fe82afd30970ab09a78834de60f532faa658f5083646e98cbaabfe22c397,12/09/2024
52841-08,Business Products and Services (B2B),Commercial Services,Other Commercial Services,No,5a178f7709feaf703d364ed1997c77953f62a7828891dd6c96a16d53896a4470,12/09/2024
52841-08,Business Products and Services (B2B),Commercial Services,Consulting Services (B2B),Yes,d14d4e96950a80899f327b15cc4fa1c670ae5cebf38858759bd7882ad9774000,12/09/2024
52938-91,Consumer Products and Services (B2C),"Restaurants, Hotels and Leisure","Other Restaurants, Hotels and Leisure",Yes,6217bda72392be5209d64bbcd5e88d7f399d3b17a96252a26accd5bca12e5dcd,12/09/2024
52938-91,Consumer Products and Services (B2C),Media,Information Services (B2C),No,5775c979930c1876c8c4c6dfb7ba1d6ade370f76a725d264585414ac317187f6,12/09/2024
52939-00,Information Technology,Software,Entertainment Software,Yes,86db351f3ea7f7802a90839f3f94d1846bf0dd22b9ad8e33e745533c38db1bf4,12/09/2024
52961-50,Consumer Products and Services (B2C),Retail,Internet Retail,Yes,7cbed5d389fc654df8b4baafb09c0777dc1da477748478b733ed7b496876f34a,12/09/2024
53402-41,Information Technology,Software,Network Management Software,Yes,9655a41803494102276dfba27f43de8baae4d67a6449859e62b2127b3977daa1,12/09/2024
53402-41,Information Technology,Software,Application Software,No,64de87073a79cce3007a7e221a16c3d68d28acf25786cf8743f53ea7cfa3e5e4,12/09/2024
53433-73,Consumer Products and Services (B2C),Media,Information Services (B2C),Yes,1d05a2171ea44dd3c242dea8ac2ed8cc48ea696c67695556be94c5326e16c0ef,12/09/2024
53433-73,Information Technology,Software,Application Software,No,d2a14657a22b21c1b09a8c735768319e0a42c4358f40b387e122e28e63519aef,12/09/2024
53506-54,Healthcare,Healthcare Technology Systems,Enterprise Systems (Healthcare),Yes,b459ba1789322848499be5cd84531b4eed503539de0a70e63b7c7d5bdf0479bb,12/09/2024
53513-56,Business Products and Services (B2B),Commercial Services,Media and Information Services (B2B),Yes,41438b8b5ccd702b71f6f6d4cad45343ac2e22f5a54e464358a1cc7bd5722213,12/09/2024
53637-31,Healthcare,Healthcare Services,Distributors (Healthcare),Yes,f5e0f6e519f15f08be19ef87653810f645b498e97d44a99bfba5272eded52108,12/09/2024
53637-31,Consumer Products and Services (B2C),Retail,Other Retail,No,9b97a752290ce0096a97c9f659bc9b41e147f2247ec607ad8ee18d878a1a381d,12/09/2024
53637-31,Healthcare,Healthcare Services,Clinics/Outpatient Services,No,ec3822625a16bea82a2725191384f0fd9c4fd5e55878aaff5563368eed509226,12/09/2024
53680-78,Information Technology,Software,Social/Platform Software,Yes,9d26fb8df69338b3f4ae569366c911542e80a63fac78ddca965a420e812c205e,12/09/2024
53776-90,Consumer Products and Services (B2C),Retail,Internet Retail,Yes,d702369a8b836df7e243f6441e5876637265441475184230c7424ddc9151205a,12/09/2024
53869-33,Consumer Products and Services (B2C),Media,Information Services (B2C),No,f49f1f8527a930a24c1c7d285a01c978840210c8b21c623f3db3c1ffa2851751,12/09/2024
53869-33,Information Technology,Software,Social/Platform Software,Yes,a6b01d17fd414e5908896b7aadca693065bcfd282789ab5e987d74d6113c3b8d,12/09/2024
53869-33,Consumer Products and Services (B2C),Media,"Movies, Music and Entertainment",No,b099d979761162acd7b9602cb9b0ed5bf3a13d6ce0ce78e7815b28301fa21492,12/09/2024
53869-33,Consumer Products and Services (B2C),Media,Social Content,No,1dfac2d133e57a0e9be6f847ac014faae69db6f7a77831a7a941b258bed14d74,12/09/2024
53869-78,Information Technology,Software,Application Software,No,5fee7a4c5189e554338366af17adabd890588177dd57728461784baa83af2b6b,12/09/2024
53869-78,Consumer Products and Services (B2C),"Restaurants, Hotels and Leisure","Other Restaurants, Hotels and Leisure",Yes,55ea008a4461b6fb4788028838d1e584fb30069d6833b43d19e6a3b456c2bf1e,12/09/2024
53870-05,Information Technology,Software,Application Software,No,7e664d89349c5fe6898114f3a54d59d7a913732f7780b4c25830727f45149485,12/09/2024
53870-05,Consumer Products and Services (B2C),"Restaurants, Hotels and Leisure","Other Restaurants, Hotels and Leisure",Yes,73166c9585af55113fd27911f4f025e56d256ed3b8778c48e1584bf66ec63e36,12/09/2024
53886-52,Consumer Products and Services (B2C),Retail,Internet Retail,No,8df67ab118f74d0ef142500349fb96698e99889c9022ab6e9d1b00af6117a04d,12/09/2024
53886-52,Consumer Products and Services (B2C),Apparel and Accessories,Clothing,Yes,a2daaa47688212e7dbd9511c1d2f5926ac9f2b453a02cdd293092e3a21cff990,12/09/2024
53886-70,Consumer Products and Services (B2C),Media,Social Content,Yes,da571ea257c5d716d6eba432c026d0016ef81f6ec637f39234d9491372575da8,12/09/2024
53886-70,Consumer Products and Services (B2C),Apparel and Accessories,Other Apparel,No,7d77ae81e453d48d0f71cc0788eed5b326c0d71a4d988539f2b17691815c9e01,12/09/2024
53947-54,Business Products and Services (B2B),Commercial Products,Other Commercial Products,No,b17b4698edce8325ffb66200d1920bd68fdc6a5575f2200d63ee6fe5382010dc,12/09/2024
53947-54,Consumer Products and Services (B2C),Transportation,Automotive,Yes,02e00c49ebc7b4708989448e935bf6a3e87eeb7b5a765c6689b87ab81628b523,12/09/2024
53947-54,Consumer Products and Services (B2C),Retail,Internet Retail,No,74f8759460bb2515585247bc274155eb06444addb5a19cc3d9fc7a7865538df0,12/09/2024
54009-91,Information Technology,Software,Business/Productivity Software,No,67b764e31d9beb3071b39888cf4c52bdc90f474a721a1563dc3c30d8755e97bd,12/09/2024
54009-91,Business Products and Services (B2B),Commercial Services,Media and Information Services (B2B),Yes,dde64eb4705c79972372ab6382659cad79d92523d802916cf246751432f4d833,12/09/2024
54009-91,Consumer Products and Services (B2C),Media,Information Services (B2C),No,de4890faeac71f8c2a181c5e2be5f3decd9f56018e116ca9560dcecc6896854a,12/09/2024
54076-69,Consumer Products and Services (B2C),Services (Non-Financial),Real Estate Services (B2C),Yes,524010f63a6571c7969d1b42149600471ed01e0a06b20248327149b52dfa80e2,12/09/2024
54076-69,Information Technology,Software,Application Software,No,9a5a8a1425387da18c5cc6e933ce63194d0cc2af236ba70533a666ce02f13f01,12/09/2024
54077-77,Healthcare,Pharmaceuticals and Biotechnology,Biotechnology,Yes,0b29d8dac7d2a32560392e490901d2ce1946cd9b9a29fa83d1fbc5aceb1a6360,12/09/2024
54077-77,Materials and Resources,Chemicals and Gases,Multi-line Chemicals,No,15601d27538439a7d83f4952f181a4ea748147147892ff7324d155cf1fca6a04,12/09/2024
54216-82,Consumer Products and Services (B2C),Media,Information Services (B2C),No,506ecc2f584bbcd3abe07fbe70224ab59ad4a23f0e767af0c3f7e2cb29472511,12/09/2024
54216-82,Consumer Products and Services (B2C),Media,Publishing,Yes,94f86f6f4ee1e636838fc81b1ea2f46359d8f52c635f4be4b50e5f2115c630e5,12/09/2024
54225-10,Information Technology,Software,Educational Software,No,9780caccb887fc3dcab36de01400cbf2e183e321beea8dbb3baa22d4d54023ad,12/09/2024
54225-10,Consumer Products and Services (B2C),Services (Non-Financial),Educational and Training Services (B2C),Yes,bb057ddcc58dca1a1f33461182b3f6d8d843c482c1e24b8e1b3a191c501b4616,12/09/2024
54225-19,Business Products and Services (B2B),Commercial Services,Media and Information Services (B2B),No,28e33ff24759b0af3bd035816bc554d734c3cd66d1f5d31cd7456818d596dbca,12/09/2024
54225-19,Information Technology,Software,Business/Productivity Software,Yes,cc589aa7f42cc69a5d797572a12dbfdf84447eb8bff045a1cd3a856453f74a6c,12/09/2024
54225-28,Information Technology,Software,Internet Software,Yes,aae2ea6a43616227a3cdb902d8dd7bad9662f9c76e72cc5b5ef8e9b67cbe3c9e,12/09/2024
54228-79,Information Technology,Software,Entertainment Software,No,ee8f98eea5403a235ad1d6e12204e8b291eb183cd50e403de3a016c43ef4795f,12/09/2024
54228-79,Information Technology,Software,Application Software,Yes,25a0c513266c8914e3e3db595f6e48214d607cb5549f207035f7436aebaa3cc9,12/09/2024
54229-15,Consumer Products and Services (B2C),Retail,Specialty Retail,No,cca95b434bc249e9ef9ddcb3b940ff43f457ebd3cd2b7acc459cae57e98f4ec2,12/09/2024
54229-15,Consumer Products and Services (B2C),Retail,Internet Retail,Yes,0905cd9790cc15e7b4109e3cd8e508bc080d5f91209a3855925e79b0ff66bc39,12/09/2024
54240-13,Financial Services,Other Financial Services,Other Financial Services,Yes,79c69ff49dc0dd2fed8df1bd40a4cdcfa00c833c9f92b1c3bede0f44a224fd67,12/09/2024
54240-13,Financial Services,Other Financial Services,Consumer Finance,No,c609659edf9d96aa6fad35220d69df6e5d3ece5664c3b057f4cac2f066e14196,12/09/2024
54360-46,Information Technology,Communications and Networking,Telecommunications Service Providers,Yes,649c61708b0398c5d19cd710b068c874ebf2f7f1b0d2e688ea5688f8302246c7,12/09/2024
54437-41,Information Technology,Software,Application Software,No,324e8d299b9518d9ec945c95793178b8e381108606bad4afe8d94cf6ce5a9075,12/09/2024
54437-41,Information Technology,Software,Social/Platform Software,No,ee26ccb3905df5fcb539c413e7af5cfde988f91460efef66dda117b8d463f815,12/09/2024
54437-41,Information Technology,Software,Software Development Applications,Yes,1d6e63c9f932814db994e1b970c5377e74d48966678b890fc3b9244d44b90361,12/09/2024
54453-79,Information Technology,Software,Social/Platform Software,No,c02d7531251983fcf39e75b930a2bfb870c191d4230387b51ade61cac3ca9392,12/09/2024
54453-79,Information Technology,Software,Communication Software,Yes,10f01ea994c31196ffe19899b934fabf0a24d248e003a351bbde5e032f8ece6a,12/09/2024
54453-79,Information Technology,Communications and Networking,Telecommunications Service Providers,No,742239ceab09df3b41b43248f146dd212c458b5f55442be63b2990ebe214a9dd,12/09/2024
54454-06,Information Technology,Software,Application Software,Yes,cfbc53ddace8f77f1138b7208950a2359764d8ae6641ed6f8d91cd6f8344a831,12/09/2024
54454-06,Consumer Products and Services (B2C),"Restaurants, Hotels and Leisure","Other Restaurants, Hotels and Leisure",No,132e993ccf1cd89f610fc7832d818419ced1f41267de477f8cc38b4b3635b0fd,12/09/2024
54501-85,Information Technology,Software,Business/Productivity Software,No,08bb3af3248d27f1b8fc83325f148ad61dbfdf2381befee53e6055f31080d668,12/09/2024
54501-85,Business Products and Services (B2B),Commercial Services,Media and Information Services (B2B),Yes,4bda5b2b2c1445eff24e79505e00545c07f17b96b640305c03bf6d701c47d5ca,12/09/2024
54534-25,Consumer Products and Services (B2C),Retail,Internet Retail,Yes,804efbbc44baa12c29ccd7d84be1aa121d087776873e18d312a4f61506fd11b0,12/09/2024
54553-60,Information Technology,Software,Business/Productivity Software,No,3269e04977af9bdaf86427236c6e446e5c9103fbd63450499d40f4be3add2886,12/09/2024
54553-60,Information Technology,Software,Database Software,Yes,421f6e9da6171ff15a057fdb2d85b87f760d6c97ca6c9a05f75f00d07e97290d,12/09/2024
54601-21,Business Products and Services (B2B),Commercial Services,Other Commercial Services,No,1084dfb8ac0755f8877421c0f6003ea2e1169dd4c7419465c33f728ff2f6ffac,12/09/2024
54601-21,Business Products and Services (B2B),Commercial Services,Construction and Engineering,Yes,4d0eed6843199b38b088c4f1137f5dcb7c1f5541ff02d8ed4c04794c01e82302,12/09/2024
54729-10,Consumer Products and Services (B2C),Media,Information Services (B2C),Yes,eb222cf21ba7cd27d53583b9248cae169c999979378aae0a4b7481f189fbe5c1,12/09/2024
54729-10,Information Technology,Software,Application Software,No,5c63077fa8b73631c958c77354dc8b2a6d5f7ad281d8ece6a3a22de49f837261,12/09/2024
54748-36,Information Technology,IT Services,IT Consulting and Outsourcing,No,b6478c5296ee36ea88528ee9b039927d42ebdc4e82dfba48faaac69a823bd2b8,12/09/2024
54748-36,Information Technology,Software,Business/Productivity Software,Yes,8eb2ae8ed9eaa8b6e710840aa77bdfa809ddc1eeaf6b1295d88dc26e037059ea,12/09/2024
