CompanyID,AnalystCuratedVertical,Segment,Subsegment,ACVReportLastUpdated,RowID,LastUpdated
469332-37,Fintech,CFO Stack,Expense management & AP/AR automation,Q3 2024,5a6860b84c718896629282d244890dcf9021ad4ceaf0daf979f33eb4715b9df5,12/09/2024
483341-14,Gaming,Content,"Publishers, developers, studios",Q3 2024,782854aa9978d42e873d8132851d696eecc7417141283fbcb7cc87e38a7dbdc6,12/09/2024
484078-42,Enterprise Fintech,Payments,Payment platforms & POS,Q2 2024,31ad7ac97a17dbb9648b44ca6cc8934379bca5837e83fea00e1bf42aa16140dc,12/09/2024
484078-42,Fintech,Payments,Payment platforms & POS,Q3 2024,a1b5fb7fde453e96e722c8fdd409c160e7ebbf54b29331724b69c65fe1b4ab25,12/09/2024
443158-84,Artificial Intelligence and Machine Learning,Horizontal Platforms,Computer Vision,Q4 2024,ce4e3ed362c1bba9e2466def99d47daa014950f10263ac15d7dc3e52863d4632,12/09/2024
519467-77,Crypto,Access,"Exchanges, wallets, and crypto financial services",Q4 2023,0b10f6c0d74fd6d0429d0590da63dafda263c1ac4c9548fb4e9aa9b26c1e971c,12/09/2024
519467-77,Retail FinTech,Credit & Banking,Digital banking,Q2 2024,97c8bfb2dfbe8bf1cd24eec51bfff1c1ba7da5d2c1d22d9859846ccd69f688d3,12/09/2024
513201-97,Digital Health,Telehealth,Home Testing and Home Health,,b131a64e83283402f7afe7e63ee8b7e5f14ab63568f8be3528d6fc74e87f5c49,12/09/2024
437628-34,Retail FinTech,Alternative Lending,Microlending,Q2 2024,7cf1b65edc774e348ff7a4c62a2756709ece36008a095bbb5545e0b7c040457b,12/09/2024
223077-79,Fintech,Payments,Payment platforms & POS,Q3 2024,63eba803a254443824d283b3398cdf5af4e9e81b4e1af57b27119b9cc548e208,12/09/2024
437630-32,Enterprise Fintech,Commercial finance,Digital banking,Q2 2024,29cd778d3a93bface6e3715d74e3c8faf1b554e1c0707d0c5520393ca7f3afe5,12/09/2024
437630-32,Enterprise SaaS,Enterprise Resource Planning (ERP),Human Capital Management,,d7a6c73aade4467347ad0cd3e4e907f7c3698161df89ef81dabe21613d5685a4,12/09/2024
437630-32,Fintech,Commercial Finance,Digital banking,Q3 2024,865c193fd3b7c31c046cea10c9d0ca97611570b173b3359d5b20e6b8f5f3a832,12/09/2024
167778-91,AgTech,Animal Ag,Livestock & Land Animal Technology,Q4 2024,4dc223eadc61d0ba0702a856d5348dd04dfaffa0f6038a94100297023968998b,12/09/2024
512831-26,Retail FinTech,Alternative Lending,Real estate lending,Q2 2024,288cc1d1259e1cb9c4081601160997e5e80c532999ca4659294e4812afad73bf,12/09/2024
167779-18,Information  Security,Application Security,Web Application Protection,Q4 2024,338eabadceb565ebacd562dc810acde5e2bac88c41b4b47ee9be8d2b89473fac,12/09/2024
53869-78,Foodtech,eCommerce,Restaurant Marketplaces,Q4 2024,cc6b24cca929395e4754787eadb02a9d84e6760296cb90a4161aef8a9a8e4259,12/11/2024
342148-69,Enterprise Fintech,Commercial finance,Digital banking,Q2 2024,8eda109811f61775d1c3a26856a6f3a3a91ad89ad114e4c1539707c3ffac7184,12/09/2024
342148-69,Enterprise SaaS,Enterprise Resource Planning (ERP),Financial Management Systems,,4253042b69c7dec0d7774e20ac45c0fbcd8aa2e73391700ef8d69ee464f277fb,12/09/2024
342148-69,Fintech,Commercial Finance,Digital banking,Q3 2024,34abf42c02a905732222887ecbb18466441bf4ef3990bf89196692cde2b8de08,12/09/2024
464172-04,Foodtech,eCommerce,Online Grocers,Q4 2024,e49534479dfd9d724f1c040470cc65b16bc1e7f836cf162da9713e8b907bc7c7,12/11/2024
521679-16,Food & Beverage CPG,CPG Beverages,Coffee and tea,Q4 2024,6705641b148dbfa09a68813a461f03718ff82541168d5418668cc8c716e824ad,12/09/2024
516149-83,AgTech,Ag Biotech,Plant Biotech,Q4 2024,0230a0a0e41c55f779fd6d7edc6da2b2e99d1a245e15bbaf8087ba7382cf2e10,12/09/2024
234506-80,Artificial Intelligence and Machine Learning,Horizontal Platforms,AI Automation Platforms,Q4 2024,7863d271eda2b19adce2e47a9792afb7f3312bf979cac92772a50c0c66318442,12/09/2024
234506-80,Internet of Things,Industrial IoT,Manufacturing & Supply Chain,Q3 2023,e800f8129c1bbedeb7a692bb6bc2f584c04de056e5ef674f73e47e5f3c505a46,12/09/2024
230447-35,Foodtech,eCommerce,Online Grocers,Q4 2024,c65976f6aa9a3857dcb5de22c3620f773bdbe1cac508910f5032d074d1e01f75,12/11/2024
104376-97,Artificial Intelligence and Machine Learning,Vertical Applications,IT,Q4 2024,8e7809606d9104b139a920304889252dc046c2d272ae035dbcbd67f425e5d45c,12/09/2024
459012-61,Retail FinTech,Alternative Lending,Retail and marketplace lending,Q2 2024,a9f9806faa35c083d1f7f62422b32379b314de1f91603404a8e8849c4789203f,12/09/2024
454957-48,AgTech,Ag Biotech,Plant Biotech,Q4 2024,604c0133532972e6e8a7f969297b5cada0a13290c1a2a62c1499eb550dec449f,12/09/2024
507304-36,Artificial Intelligence and Machine Learning,Vertical Applications,Consumer,Q4 2024,52d4c2535fa75be1d68f68f9e6087f62d2f127c566849b1d86414bc105b8fd80,12/09/2024
96635-62,Foodtech,Discovery & Review,Kitchen Enablement Software,Q4 2024,3c99984c00243792155396f21bf8c4807913bfec83fc6245977b64bfa4aee0eb,12/11/2024
235240-57,Gaming,Access,Esports,Q3 2024,b3c020039f4b13f829574d38253b75994a972617a898a5ac83f08f13764d6fe3,12/09/2024
454959-64,Clean Energy,Clean Fuels,Waste to Energy/Fuel,Q3 2024,1e953252b4fb346d1e8be5d4f3e6190526eb278f7bee58c944295ac035c4bad0,12/09/2024
461963-08,Carbon and Emissions Tech,Industry,Green Chemicals and Materials,Q3 2024,6402b18599015e07b7f9aed44fcb7445d3680cdddf8cad323a071d8073b62f87,12/09/2024
528317-74,Infrastructure SaaS,DevOps,Full-Service DevOps,,e4499b283ce65f0950a5f732084325e9c51e6cc64fa2fde4c54b60784617281d,12/09/2024
