CompanyID,SicCode,SicDescription,RowID,LastUpdated
14184-46,2911,Petroleum refining,46ff5e019e8ddd0bf74ab378c2ba7b97fdd39e11e160c5fcd64675aae453a62f,12/09/2024
12817-09,5961,Retail-catalog & mail-order houses,72caf739361373fc564f02d8c7593a44f0b59befba7c8ccb8e0da91fc0f27ffa,12/09/2024
14184-46,1311,Crude petroleum & natural gas,32dd51f10d7a4bfa44ba5f86cb5bc4fdeb82a557891cf7eecdcc3e6746e9d854,12/09/2024
12817-09,7389,"Services-business services, nec",a84091ce24fc18b1ef86c488ad33fc1279bd6bfa8fb0b7fcd17d42fb54639cfa,12/09/2024
55998-10,4941,Water supply,c0ae5540f6300e67a27785449d121363879c43e857b5c7ce971f8dd7519c3c03,12/09/2024
42056-74,3990,Miscellaneous manufacturing industries,0f80a9bcdb6c8afc28ea750a9af0b859f3fba92dbc7cc7e2ff7eeebc2cd80bf0,12/09/2024
12256-75,4841,Cable & other pay television services,a42054eb7bf58632b0d9268f3d403de50add14093f75a3a13111416fc59ed59f,12/09/2024
57396-07,7372,Services-prepackaged software,30d47babebabb7bf7f1c03e79cceb6578df045c834b840603ea8a05d1146412e,12/09/2024
58105-45,7372,Services-prepackaged software,918bf9d286f56fa400596106708d3aadd159f6d45d334333b664e2a8153c4b2d,12/09/2024
56792-98,5961,Retail-catalog & mail-order houses,b5c163314bf03698538f2303b310fcc3dca25c3bc1cc2cf6499a34a42e196bd9,12/09/2024
51051-70,1000,Metal mining,3ac16b9da4bdf01acc15aecbd91906ddbb192a50b19847e571332dd7d59fe7a9,12/09/2024
60316-66,5999,"Miscellaneous Retail Stores, Not Elsewhere Classified",ddbf961af0736dc7ce8e77799332583239afbd9bd09e868af91218530c96c41e,12/09/2024
151586-02,0200,Agricultural prod-livestock & animal specialties,f4d2690a4a82d04cf01158f186771a7cacf4cac0a0aa4ea40812118c19fa6268,12/09/2024
52319-80,7376,Computer Facilities Management Services,66d17b71abd05bf9a9eee3a1fcef5a6235b7f13d9a2448326f37fe90b326784b,12/09/2024
58512-70,5961,Retail-catalog & mail-order houses,f50bd1fcc2aa7fae4eb6c5099e8b28b224b902a51515708658f646211905dc65,12/09/2024
59434-48,8011,Services-offices & clinics of doctors of medicine,15cd3eac336e67a1f476dbcd757f5503d39e92e6fe674be2959bcba5b2bf58ed,12/09/2024
52666-48,0200,Agricultural prod-livestock & animal specialties,a9ae685201bec01c0f6c014994f3773a87b1b1e01c524013f8e80070e547fe25,12/09/2024
58481-56,7375,Information Retrieval Services,eb7adfcb432c3c6fe0dbc3325c83ad1c22c5ef66de0c58529b29db678b945551,12/09/2024
63480-97,5171,Wholesale-petroleum bulk stations & terminals,9436041999f861f14ada2cd92da0e68bfb0b6bd6c1f90d807e3ff1ba0a88502d,12/09/2024
154153-36,5140,Wholesale-groceries & related products,0be851cd946453a209687bd3ded352cdc9f8eb048ed4180baf924ee6d9fbad47,12/09/2024
157816-72,7374,Services-computer processing & data preparation,5ad8fceb22182b52263e33689d7d35d3d8a8dec4dbd5bfdd33ddb61ab4051467,12/09/2024
163048-69,3299,"Nonmetallic Mineral Products, Not Elsewhere Classified",bd01dbad93adba19ecbd864d48661f22d294a7cdc01b3fe4c35a5606b8da8a9e,12/09/2024
