CompanyID,Vertical,RowID,LastUpdated
57023-83,Mobile,7b050f45db1672cd55494d344bb0dd708d41ae03d758f6c918b671ada401e62b,12/09/2024
501921-28,SaaS,b53f52fb1cb3da7d1a18098cb59eb12d5c4f1cdde442c6a51e121241bd947096,12/09/2024
502985-89,FinTech,7634576fce6022e41b5c774f4ff4ace1d99a964bec74c90678e0972825ba72db,12/09/2024
92037-88,Gaming,fbd7da1760d8c465bf7ce0fd248ca80199511b0b5a03c2d91c998dedbfeb486e,12/09/2024
466169-05,SaaS,73bae0f0405fa859a0c64979131d48de99424db6a1f2ce364014757221052dc8,12/09/2024
264289-87,Mobile,36e737ddb2ab262943c3c377fd001301b8245ea4f540c6c35a2b9e669fd3e97e,12/09/2024
148828-33,Mobile,5a0695b882938ed35a9f0edcc01296f549e95c0ee8117caa6d4af9cb446f0e95,12/09/2024
458436-88,Mobile,1c4227d81f19bd9d00b56d35b06f8e8cd1a83b5ae0c4d38435f25d38b2e3ab58,12/09/2024
527439-34,Cryptocurrency/Blockchain,bd0254e257c2dd82ee6a8deedf5cf673358258f0a20dc3a562841a12a7fadb4b,12/09/2024
529637-95,FinTech,9534a44594967bb38212e833b6dc473e83dc3b748af0b8fe96ce25f6a193e3bf,12/09/2024
65964-52,FinTech,69bed55ff7622e8432735fd02ce49b613d8f7391e3d14a18753b76b824a54732,12/09/2024
126017-92,EdTech,52af22b865a6edd04f8f5f81e44cd0b197243a5e59e7df2d49e287941920ef81,12/09/2024
340825-69,Mobile,02791a2e57c1147dbfc389b121a2d2b18067fe7073bd890ad1cfd23ae8d7b286,12/09/2024
527024-35,Cryptocurrency/Blockchain,2ca449414e39c4f56b388eb082a0c3f56bd07507d2e3ba8f6fb9943f0a19b3e1,12/09/2024
84524-68,TMT,17e6c4878750530313974242647aacd391fea20b514dcabb359e5ee43287191b,12/09/2024
120001-69,Artificial Intelligence & Machine Learning,8120f6213768d80239b03b4414331fed3bb05bae01f6843a070fa38cd1bd58ae,12/09/2024
55370-44,Augmented Reality,6dcff81388585f0d9a5b519275ad6c6eabd15063644374da86c80311779460e9,12/09/2024
54076-69,TMT,da240446a9fc19588a57403cec0bc5aa445c92be9713e478f7aef21a829047f7,12/09/2024
97570-54,HealthTech,91230151615656452556f6d0357292797dddf3f1273778585b5d267ec0cab278,12/09/2024
527628-07,Manufacturing,b8952e92023e316eb8ffbd55cbed2cf888eaa3d6040bfb2aafb37d0e78b75b65,12/09/2024
496764-91,Artificial Intelligence & Machine Learning,fc457b834b9f5cd93b83e3b0d311342b237fad1220522135fc806028c9dbc560,12/09/2024
494983-00,FinTech,642ee7b15f9987a4c0a0152b6a0d44cf8cbf56e0121403c6e446ab916dc710f6,12/09/2024
439846-75,Oncology,41268bd71e3b3f9c3324c3e51110322c6b66c4408fa364b6a189ff3d8522fae6,12/09/2024
85312-27,Marketing Tech,54f53245907c818a43faa77b7df05cc842fc62911ab203d7d109d1b2f51e1f3c,12/09/2024
85560-94,HR Tech,088cb96509da6ace1d0a7a22308b9432407b7602e241e98dca5b956dcbdd1e23,12/09/2024
503495-83,Pet Technology,a6f7c3b8a5417335bb12d3f4b7dac9ae9a8b53a03c97b54b38bf903100a876c4,12/09/2024
267670-09,Climate Tech,8919671a20c7af200f7699df37051dc7e60c5fd4d492b91ca0c93e3f541be948,12/09/2024
495075-70,Artificial Intelligence & Machine Learning,e04bd5b868471d4ca901fcc6df3e1328c9f65ac0716a464d489c7aa0623ab739,12/09/2024
468898-57,Mobile,5519b9cec24e109a578209fd8c01b45d484ce94f5e9239b0013ad97ae3333b9c,12/09/2024
442485-28,HealthTech,1561f7799c98e5b7102eb8861af292984dd3e54dc68358bde61d3ddd83129ed7,12/09/2024
232189-93,AgTech,54ddd66550355595918a325a092ba94c9095826422f93da26d20606b9bd5e63d,12/09/2024
228560-14,FinTech,65407eab70b9f00e9aafec8856f6e6f54c9968065e6a06fc447a19282e6cb773,12/09/2024
493483-42,LOHAS & Wellness,1782811e86f6cc6dbe09bf2cedfdcc4ce7b8fe51f9612090470e3ecdda7d7f31,12/09/2024
123732-19,LOHAS & Wellness,22c6ec4ed6edfa2aca6814d2f2ef53272fdfa02608f4d142a4a7841709592035,12/09/2024
496766-89,Big Data,0a3519d188318347bcf6476e9e01ad899c5af0592a1aa5711921a42d97a54cc8,12/09/2024
503582-77,TMT,63b663068942362599e1df8ed654e5294755a5f0f16e0b0186b245a0987793b2,12/09/2024
484487-65,Pet Technology,559d0b9d5f8adedd1ddd46a20978413352a4315b51340f9a15a37d672b15df33,12/09/2024
231715-27,FinTech,ec9850a898946e983704b6525ea9cc6138309dd4b0196faad9ac629553249cd0,12/09/2024
111362-50,TMT,92f6c3052ea2d7819ee19e8e046896f257110d0b98b28e9d224f230b3f3f2f1c,12/09/2024
510653-35,E-Commerce,793146d0673148b7a53c0d0560d023dee75a459b388a57e56f3d21c7791e57da,12/09/2024
633170-08,FinTech,4992e1fc160a6f674d62ceb8d0308e8903042527816c016e3bae65ae3a2cef3a,12/09/2024
265782-97,FinTech,f639a3ebca454bec2b2b285fa51d52a9bc4b09890966964f36397b07d67a9d91,12/09/2024
460294-39,Marketing Tech,704ae1bddac5251d7042aea33e2d13d1524dac43f87bc71073b0341913cb4ce3,12/09/2024
110736-01,SaaS,d3305b8337b8c8e9ca10739e3f5cd1b34edd088bb1211064f63e35bf84be88f1,12/09/2024
100540-81,E-Commerce,6f0b7fa5eafb6b3bc85c7264099658849b5ed3ba2d26dca7509c94efc7545895,12/09/2024
226595-53,Mobile,ec1d9228226d1ba39d8eb6040d2d15c0ce09bdcd78b46a94513aac14a9450d08,12/09/2024
558761-59,CleanTech,44880a04f7be204611a649845c3d15938f1501607c989a9c66a9a1d9d887d7d9,12/09/2024
432588-61,LOHAS & Wellness,bff402596aae5997410a8771d34fbd3f097275e14e8f152aa85aaa364996195d,12/09/2024
471233-89,HealthTech,fe6449b0ac18320d998ec57b397c01397d2e91d8d3740943459bdcfb33c8d8b1,12/09/2024
496517-86,Mobile,3ad2e4ff6b4bfd8f4deee583838705ad58a4e9c5525e23a2b6fdd3a035387eea,12/09/2024
135786-88,E-Commerce,767035073dc760bab4f5866d7c8974ee5c7682b742ed64b67e6cbcfed8b8ab71,12/09/2024
483738-85,AgTech,be77da5e027324eacec2833eebca2b78e10a2ee96c97863bf268bd6c989d244a,12/09/2024
117651-43,Mobile,78be24cfb81f7526376a93404c5c12eae5abb69febffa7cc54889fa400adf103,12/09/2024
122074-12,SaaS,b59131f44e25c405a4001ea3b780ff9d3f8427129122094ea624cbbde38aebc5,12/09/2024
496517-86,Artificial Intelligence & Machine Learning,13a0903b15d27bf1abd1b0eaf9703bfec86c6a2fda166abd1eae10f5b04937cf,12/09/2024
496348-66,SaaS,5f869e83fc149e3571e7c12a5e6c546f86a4cfb3fb1351c489f5b8cece7cba05,12/09/2024
509256-73,E-Commerce,e162468f9f1cf27ed0e03b99e19eb0c014d5821d36e8700a827fecf1f93773fc,12/09/2024
493353-01,LOHAS & Wellness,70b09cbd27137352c1123f16439505724ebfd75dcb0146b348ffb787154c02c4,12/09/2024
