FundID,FundName,FundFormerName,FundNo,FirstFund,Investor,InvestorWebsite,Vintage,FundStatus,FundSize,NativeFundSize,NativeFundCurrency,FundSizeGroup,FundCategory,FundType,FundAccessPoint,SBICFund,CloseDate,OpenDate,FundTargetSizeLow,FundTargetSizeHigh,FundTargetSize,Domiciles,FundLocation,FundCity,FundState_Province,FundCountry,TimeTakenToCloseFund,FundFamily,TotalFundInvestments,AsOfYear,AsOfQuarter,IRR,DPI,TVPI,RVPI,GainSinceInception,Contributed,CalledDownPercent,DryPowder,DryPowderPercent,Distributed,NAV,DistributedAndNAV,Sources,Quartile,IRRDifferenceFromBenchmark,DPIDifferenceFromBenchmark,TVPIDifferenceFromBenchmark,RVPIDifferenceFromBenchmark,IRRBenchmark,DPIBenchmark,TVPIBenchmark,RVPIBenchmark,RowID,LastUpdated
10910-53F,Ares Capital Markets Co-Invest Program,,1,Yes (Ontario Teachers' Pension Plan),Ontario Teachers' Pension Plan,Ontario Teachers' Pension Plan (www.otpp.com),2007,Closed,800.0,800.0,USD,500M - 999M,Co-Investment - General,Co-Investment,Co-Investment,No,12/31/2007,,,,,Canada,"Toronto, Canada",Toronto,Ontario,Canada,,,130,,,,,,,,,,1.51,0.188834,,,,,,,,,,1.0,1.4,1.1,0.1225,504b2b7be9d04e236df9403f3ac4dfd625ffec9489e6f138e6238af5f502cf72,12/13/2024
11005-39F,Asset Management Partners 2004,,1,Yes (Asset Management Ventures),Asset Management Ventures,Asset Management Ventures (www.assetman.com),2004,Fully Invested,60.0,60.0,USD,0 - 99M,Venture Capital,Venture - General,Primary Fund,No,06/16/2003,06/01/2003,,150,< 150,United States: Delaware,"Menlo Park, CA",Menlo Park,California,United States,15 days,,27,2020,1Q,-7.4,0.0,0.3,0.29862387,,60.0,100.00,0.0,0.0,,17.917432,,"AMV, Ford Motor Company Trust Fund Private Equity",3 (Lower-Mid),-8.1,-0.84,-0.74,0.17862387,0.7,0.84,1.04,0.12,80132a9c4de4986c255a10ac90259191fd8e6cb2e2557293f20c4d2c8276be90,12/09/2024
11010-43F,Digital Media & Communications III,,7,,Advent International,Advent International (www.adventinternational.com),2000,Fully Invested,345.0,345.0,USD,250M - 499M,Private Equity,Buyout,Primary Fund,No,12/31/2000,,300,,> 300,United States,"Boston, MA",Boston,Massachusetts,United States,,Digital Media & Communications,48,,,,,,,,,,14.83,4.29852127,,,,,,,,,,16.31,1.99,2.09,0.0,903532b48fb93e7a0dbedabc324527d7b2596cbc07df1ac638990c1ab475cbdb,12/15/2024
11028-25F,BCV V,,6,,Boston Capital Ventures,Boston Capital Ventures (www.bcv.com),2001,Liquidated,40.3,40.3,USD,0 - 99M,Venture Capital,Venture - General,Primary Fund,No,01/01/2001,,,,,United States,"Boston, MA",Boston,Massachusetts,United States,,BCV,18,,,,,,,,,,0.88,2.18165909,,,,,,,,,,-0.3,0.78021641,1.025,0.04862838,e2dc5714cee49d944a598010cbdc26b4726896477862facb7c1030c1ec38dcb1,12/09/2024
11030-23F,Bridgescale Partners,,1,Yes (Bridgescale),Bridgescale,Bridgescale (www.bridgescale.com),2006,Liquidated,162.0,162.0,USD,100M - 249M,Private Equity,Growth/Expansion,Primary Fund,No,01/01/2006,,,,,United States: Delaware,"Menlo Park, CA",Menlo Park,California,United States,,,31,2021,4Q,3.1,1.0,1.28,,40.9376592,146.61,90.50,0.22,0.13729474,146.23,,187.5476592,CalPERS,4 (Bottom),-5.11,-0.305,-0.18,,8.21,1.305,1.46,0.058,1bf7aa4531793a3cce6022f261960071ce204e4065d0cbe6aa63050298df14fb,12/09/2024
11032-12F,Bay Partners X,,8,,Bay Partners,Bay Partners (www.baypartners.com),2001,Liquidated,475.0,475.0,USD,250M - 499M,Venture Capital,Venture - General,Primary Fund,No,01/01/2001,,,,,United States,"Menlo Park, CA",Menlo Park,California,United States,,Bay Partners,131,2020,4Q,7.7,1.85,1.85,0.0,403.375225,476.68636875,100.00,1.43,0.3,880.06,0.0,880.06159375,INPRS,1 (Top),4.21,0.68,0.65,-0.015,3.49,1.17,1.2,0.015,b595c98941001674c0b3bd9a813d0be155004400898e95db7e451f504466f9bf,12/14/2024
11032-30F,Bay Partners XI,,9,,Bay Partners,Bay Partners (www.baypartners.com),2005,Liquidated,285.0,285.0,USD,250M - 499M,Venture Capital,Venture - General,Primary Fund,No,01/01/2005,,,,,United States,"Menlo Park, CA",Menlo Park,California,United States,,Bay Partners,53,2021,2Q,12.6,,1.9,,229.14,241.3,84.67,0.0,0.0,505.14,0.0,505.14190651,"City of Philadelphia Municipal Pension Fund, Philadelphia Employees Retirement System, City of Philadelphia Employees Retirement System, SFERS",1 (Top),7.55,0.7225,0.64,-0.055,5.3,1.3175,1.4,0.055,0fcdad38ba2cfb41db4d0382535fb3a008ea7cd5b290ca3cf252715a3944c641,12/14/2024
11039-23F,Aurora Ventures IV,,6,,The Aurora Funds,The Aurora Funds (www.aurorafunds.com),2002,Fully Invested,85.0,85.0,USD,0 - 99M,Venture Capital,Venture - General,Primary Fund,No,01/01/2002,08/01/2001,100,,> 100,United States: Delaware,"Cary, NC",Cary,North Carolina,United States,153 days,Aurora Ventures,53,2023,4Q,0.39,1.03,1.04,,,,,0.0,0.0,88.30,0.43066667,88.7315,NCRS,3 (Lower-Mid),-0.4,0.24,-0.02,,0.79,0.79,1.06,0.11,707630297e0e74d1b0a1b8704d09edb94e6162860f9c92b614ddf6db20a1d174,12/12/2024
11074-51F,DN Capital - Global Venture Capital I,DN Capital - European Digital Infrastructure Fund 1,1,Yes (DN Capital),DN Capital,DN Capital (www.dncapital.com),2001,Closed,40.56701586,47.5,EUR,0 - 99M,Venture Capital,Venture Capital - Early Stage,Primary Fund,No,06/25/2001,06/25/2001,64.05,,> 64.05,United Kingdom,"London, United Kingdom",London,England,United Kingdom,,DN Capital - Global Venture Capital,29,2017,1Q,7.1,,,,,,,5.91,14.57692308,45.52,38.56855655,84.08901855,DN,2 (Upper-Mid),2.165,,,,4.935,1.126,1.225,0.05,33058f4192397ff0e7bf7f78465fded93f89581e173765866aa4e5ad93356a5d,12/09/2024
11086-84F,CRP III- RSTec,,3,,CRP Companhia de Participacoes,CRP Companhia de Participacoes (www.crp.com.br),1999,Liquidated,6.0,6.0,USD,0 - 99M,Venture Capital,Venture Capital - Early Stage,Primary Fund,No,01/01/1999,,,,,Brazil,"Porto Alegre, Brazil",Porto Alegre,,Brazil,,CRP,8,,,,,,,,,,,,,,,,,,,,,,,,0.04,da3ce3f6106e2386f7daffcd94b43fad90d3ba83635173bab6af7244b1836079,12/09/2024
