FundID,Amount,FundCloseDate,FundCloseType,RowID,LastUpdated
11087-29F,900.0,12/01/1999,Final Close,1ddff4695f32d5a11eadf9dc73b144511b33f74bae93a7c296c217ee0a535bb5,12/09/2024
12120-31F,73.0,01/17/2009,Final Close,0ae7643cacc36855a0ce9faedc27be01ad1a1d9a2fad0e6f99cf199b26d4415d,12/09/2024
12427-39F,350.0,07/15/2010,Final Close,56420a8794b29c98af9797ccae9916516547f9d1894414ef8868e749f56feeaa,12/09/2024
12949-03F,1000.0,12/01/2010,First Close,65b9c8edaeba8165319c0c9d67eb1f2a6ad78e8e3c347de25997d326ef8ac71d,12/09/2024
13097-35F,,07/01/1996,First Close,5df4d868f27d449b2e07a380db8b7729da8edaa22b9311ad8c065e5c9c7afeea,12/09/2024
13103-92F,250.0,02/01/2012,Final Close,f6a9e1e5f91439db4ca7b220b553410ec374e576f71e1d65c1317ad557ec2048,12/09/2024
13109-77F,77.4,09/01/2007,Final Close,6c33377325d9dcc7a1318c604ea8d879dc17d6594c6b8d8f2cc1fc816ef6461b,12/09/2024
13122-73F,126.19736462,06/30/2007,Final Close,f64d4636ab576c0209e049ae7b6d87f231a8efde5c5ea18efa15150fcacf7ca1,12/09/2024
13122-73F,,09/30/2006,First Close,e4f312e18c8b47272a209624ece4d29b0fcf0bfe1053c59c5a57f821e4674043,12/09/2024
13136-59F,,01/01/2007,Final Close,15d2fe5455e167f92fde4b86ea7d8e06b0b7bab46f169e504f1f6d917064b52b,12/09/2024
13445-47F,,03/30/2012,First Close,65bd9e4dc8a725b6b103e65c8f574423b035ad894b9e5b7f53da5e96e590e009,12/09/2024
13465-54F,33.00230191,03/22/2012,Final Close,790e61ceac7729a58cb201e480ef1c876170600ba479808ab7b37a44584320a4,12/09/2024
13500-82F,10.0,05/17/2012,Final Close,8dd9f5390c3aeaea72d9cea58068c10b696d23157b2d30a0e7ac0b7810868c68,12/09/2024
13503-61F,150.0,07/24/2014,Final Close,e55ece84b531c2dcdc87dab9e134f39c81586d37fec69062b0acb948a805e85d,12/09/2024
13512-34F,397.0,04/01/2012,Final Close,7b8ae651665d5d9d8e2ae58fc0938ea56f07d55d9762edbbb9ee3b95edbc77a8,12/09/2024
13522-96F,26.32243011,,First Close,95fc4e5a393f10ec138a61463a99d62432bafca8dd983c30d4256a7274fba305,12/15/2024
13534-12F,20.0,07/16/2012,First Close,f7e939f84fe67922da77c6ddc5b8d3e7f2a0a21d49c93212df7fbb1f63a73e19,12/09/2024
13535-56F,130.0,07/23/2012,Final Close,c01a88e777d3fd4009e6f192d34517d4b73bb747fa6967ae45dcfb0c6bbe2932,12/09/2024
13562-11F,,09/19/2013,First Close,29a4c12b43c2d02d17440e8c20a4dd6a25c8d13d29eee5b2ba4d54e40c6f648a,12/09/2024
13581-55F,41.52780329,09/20/2012,Final Close,39b18eaa5ca7800e2772787537284a8e2c214850ea81fe5afe61315517229df7,12/09/2024
13598-11F,46.4,12/02/2013,Final Close,4defaed441109b8c0534e5893c3ff8c961a6f6fd5a0a0b96d02261f39fb9771e,12/10/2024
13672-90F,,01/02/2015,First Close,c06d810087ec78b8adf3675e8d14f4dd6951aceab967ab2e04ecf679427e7c99,12/09/2024
13681-18F,20.00160041,12/01/2018,Final Close,9c9e48ed180aeee5c5c461aaec44df11cb23793e0fb84a1a797bbec3b771559f,12/09/2024
13691-62F,32.435,07/07/2014,Final Close,990134c370a45da50ceb4dbea1b96f014058d66ba742c14dc2882832481291fd,12/09/2024
13696-84F,75.0,07/15/2013,First Close,cba8a4aa59a856bb673c271341addb8b9023c1e78826d77929227fe3a613636c,12/09/2024
13697-74F,127.0,08/03/2015,Final Close,ce13aaa834ff9bf7fd28dc3e46784bba3f31b02f2c58b67d779ef1b04745a013,12/09/2024
13790-89F,735.0,10/31/2013,Final Close,d850a7cccb495f01f991c4edecbe71a11d79340379feaecad2948f4a26a6a811,12/09/2024
13792-96F,1105.0,10/11/2016,Final Close,063517bba1d9925f81b9013ca878d99cdc397f348143c571a2d6744351117537,12/09/2024
13826-08F,475.0,03/20/2014,Final Close,2a7f4cd7e4642031b24d4b1f38b25a9cc814346910be20d0ec7144a0863a09ba,12/09/2024
13827-61F,125.0,10/16/2014,Final Close,ba61c3432616afbe6356f2813cb6be073667e9987bad757bed948d539fb20e47,12/09/2024
14176-54F,200.0,11/30/2010,Final Close,57146605762b6a5234d5b3e5b569a930dffdc59961e18ad11a187c3e1f3adf27,12/09/2024
14210-29F,850.0,,Final Close,fa5127e1df15fc017e99798e0d8c226b49d2fe956aadbb79d79f47c173c3a53b,12/09/2024
14210-29F,530.0,05/30/2014,Interim Close,94e6d5bec432dd0a96b35083966b09e7155fb5f61e3114a5bfd551b164990634,12/09/2024
14409-01F,12.0,07/30/2014,Final Close,e4be92b2a989f42330b8e13fe76658c1c3c532edcc2169bd2dda625a51577285,12/09/2024
14416-21F,622.0,05/07/2014,Final Close,0f118932a63f308718c23157e439c5468e7a2ec01e8278efdcf5ee946ee0d3c3,12/09/2024
14419-09F,53.04850385,03/01/2013,Final Close,95dccdf4ffe9ae33c666daee898cc1299308e715bca70a8c478afbc2f0bce711,12/09/2024
14419-18F,45.25785379,11/14/2007,First Close,fa91567c09c2a3e12ca00d273a6ed0edc200574d81f269511bc8187d8898a080,12/09/2024
14445-82F,25.0,01/22/2009,Final Close,9843d05b57438b99e3231ee9c062ba19a01c5a0f2c5451532775729ecc74c85f,12/09/2024
14446-99F,35.0,05/10/2014,Second Close,af2f70986043e9f335ca4c5c530fedf3cebf1409a5bb81456022315998509cde,12/09/2024
