FundID,InvestorID,InvestorName,InvestorWebsite,RowID,LastUpdated
10910-53F,11262-97,Ontario Teachers' Pension Plan,www.otpp.com,d42ff7f14cbf5d2b3c00108f504832abd5adeacd8e58668e475258f8320f2e11,12/09/2024
11005-39F,11115-28,Asset Management Ventures,www.assetman.com,dd5111b8d31474b47c3e884cd9595b5c00dfbb2c21079f809b6363c0b6ab31d9,12/09/2024
11010-43F,10015-12,Advent International,www.adventinternational.com,bde6821c91bc54cae44c21e5c1e37ba93c833341c55fec4bc2383752b159a0c2,12/09/2024
11028-25F,11127-88,Boston Capital Ventures,www.bcv.com,15309ed044b5667946f23d433e74463835df1231cdf8cdbd98c67842d8b8dce9,12/09/2024
11030-23F,11129-23,Bridgescale,www.bridgescale.com,c0d187560d2ab19c5bf45a952e8bc35eff6478bdb7b10af3ccf4decf3ca42dea,12/09/2024
11032-12F,11131-03,Bay Partners,www.baypartners.com,5665aca3a4d19d98cb610b09851aa1a6b7418edb58ef7a6f62246e6408f0b8e0,12/10/2024
11032-30F,11131-03,Bay Partners,www.baypartners.com,48992b14c111175b6619cdeb7a746f57df95ea54c7ea04e514ecc8b619e448a3,12/09/2024
11039-23F,11134-81,The Aurora Funds,www.aurorafunds.com,717a373e114a9bac5bc4d6885f57f2bd21e204caa4eb85ce69ed068bac6557f0,12/09/2024
11074-51F,11165-23,DN Capital,www.dncapital.com,420fdef4f7f07bd4e25d649cd5d64035d9c474c8348d4aa68b3e2b9c1cfccc35,12/09/2024
11086-84F,11172-25,CRP Companhia de Participacoes,www.crp.com.br,8d2ab6361c49e6ffe8f5fcef70414fb98216a549022c3ba9e40ea0f5d2db3846,12/09/2024
11086-93F,11172-25,CRP Companhia de Participacoes,www.crp.com.br,adeef29ef1fd199e1790f3ad621945155f567b9425d214236855aa02aa4be0d8,12/09/2024
11087-29F,11172-43,Crosspoint Venture Partners,www.cpvp.com,dd30e9a0f2865c94dfc302b2f727ea8ea30d43433917ccd423e74236fc7ee21f,12/09/2024
11092-60F,11175-49,Draper Dragon,www.draperdragon.com,a36ef62eba18889261bbd188e2164942c90caebe0b11b65bca7c9f7eb5b02a37,12/09/2024
11108-71F,11185-66,Explorador Capital Management,www.explorador.net,e238c37d3dbeaeb4ed934647aedf7034c3f1460c9d0bd0afb039365e5df01e00,12/09/2024
11110-96F,11187-82,Finaves,,06c59861a3204ef31cec428a0aad5ada579713f524c0d9ab1c88fa08318f65e6,12/09/2024
11117-62F,11192-68,Forward Ventures,www.forwardventures.com,4fc14103aa08c003ce1a07205377993512428e01b935133513dc883a75e935a4,12/09/2024
11120-14F,11194-12,Frazier Healthcare Partners,www.frazierhealthcare.com,33231de7a9bd1c55e12ee69c3a5778519f1e471224f29f872198cf1226ea81d0,12/13/2024
11144-89F,10331-11,Insight Partners,www.insightpartners.com,d6b9e57e08f5a90e25647cff0d3fedb12019529b3c65177a27d9e1c8b1b28e17,12/09/2024
11171-89F,11230-12,Magma Venture Partners,www.magmavc.com,cead02fe771943c7a2530034a59aa1400c381f96f59bf15485985c3c0f4197f8,12/09/2024
11186-65F,11240-02,Mangrove Capital Partners,www.mangrove.vc,7cb24d7bde8e6cf8102d409d115116e177083134585b803e9aa42b3376b17d9e,12/09/2024
11190-16F,11242-54,Menlo Ventures,www.menlovc.com,b6824dd28ad5987937810b80e5dd6b72fb8c2c97b3c21b899a517ab147b41922,12/09/2024
