FundID,LimitedPartnerID,LimitedPartnerName,LimitedPartnerType,CommitmentStatus,Commitment,CommitmentDate,CommitmentType,Comments,RowID,LastUpdated
13102-84F,10024-93,UBS Group,Banking Institution,Current,1.00,06/15/2011,Original,,079b236c9a638e608e170c76cdfc270c86802172ae0c4ccf6059338e3d305fee,12/09/2024
15720-85F,10024-93,UBS Group,Banking Institution,Current,325.00,10/04/2017,Original,,de313f2ac791089ed8cb44845058b23a394f733adb3bca8b78436ae4033557df,12/09/2024
16357-78F,10025-47,Credit Suisse,Banking Institution,Current,,12/06/2019,Original,,e6bb8bb26ea3cae095e54619d3f54663531b358b11692d8990d2f3e61a2f3b41,12/09/2024
18110-17F,10025-47,Credit Suisse,Banking Institution,Current,,06/14/2021,Original,,c0dad93a309ed68348129376227655a0de6f046ec81d0c735724537747884241,12/09/2024
18353-98F,10025-47,Credit Suisse,Banking Institution,Current,,10/12/2021,Original,,8e98d7d82ef2116ae85078285203ded4c73729d799086a51f0cc5a091f12f3e3,12/09/2024
14042-71F,10028-71,BNP Paribas,Banking Institution,Current,11.00,01/24/2020,Original,,cb04c4d162b6d56ad4e4430f68a06bfcb645710c05115b065de53330d2c2d595,12/09/2024
17436-34F,10042-84,PNC,Banking Institution,Current,,01/27/2022,Original,,970f437cc89313ea66fe917c9b2de6d8b3fcb8e5b0ebb9a784acf95b881f76c2,12/09/2024
11190-16F,10043-47,Lehman Brothers,Fund of Funds,Former,,12/31/2001,Original,,22993e914d4b38e9e7b455ce3582f6cf7d561f017bc82b414c5e2af9854ebe92,12/09/2024
13598-11F,10043-83,The Goldman Sachs Group,Banking Institution,Current,,01/15/2014,Original,,6aefe6f38df82feec73f5a7b949b42ac3d518bc462928aa3f7cc1e92b9ef592d,12/10/2024
16332-94F,10043-83,The Goldman Sachs Group,Banking Institution,Current,,12/31/2019,Original,,5e7602b0a28c981368d7602fa9e2908c224143dbaf059238d79e717a9bd2c92e,12/09/2024
16893-64F,10043-83,The Goldman Sachs Group,Banking Institution,Current,,05/17/2021,Original,,440ffd058cf102a547f053f22990e779dda46abf04a399b50901149d7fa96d87,12/09/2024
17811-73F,10043-83,The Goldman Sachs Group,Banking Institution,Current,,02/17/2021,Original,,1bef32f94f5b51742d57e25b5283876955231a7e063d0d86baab04f22023fdfb,12/09/2024
19149-49F,10043-83,The Goldman Sachs Group,Banking Institution,Current,,11/08/2022,Original,,691c5d9af6676bedc237c78887c4af04681110b34f621d0c9c92569124ebf441,12/09/2024
20751-22F,10043-83,The Goldman Sachs Group,Banking Institution,Current,,06/27/2022,Original,,cd2d40859158667058ca0cead21653203a564b26458b03007548a1489366c6df,12/09/2024
11032-12F,10044-10,Wells Fargo Advisors,Investment Advisor,Current,,01/01/2001,Original,,bd7634c81b5843db9702d417ad49b29ae481b1b510640243ae0e768c99a79eb0,12/10/2024
11120-14F,10044-10,Wells Fargo Advisors,Investment Advisor,Current,,01/01/2001,Original,,24c5bf19cd2b98fd6e2547ac8c608a053d94eb31b7a6382d78d8359d806df13e,12/13/2024
16852-51F,10046-80,Bain Capital,Direct Investment,Current,,04/11/2019,Original,,4a1cd1e75280a7d9046eb13dc0e6eaf85f41fa02fe54bc7c5990612e98eba775,12/09/2024
11144-89F,10048-33,Saban Capital Group,Private Investment Fund,Current,,01/01/2000,Original,,608e71ae72901846c2bd8893e1d8270a75963c91fa415a8ccc61334f8a9f726a,12/09/2024
13152-34F,10048-33,Saban Capital Group,Private Investment Fund,Current,,12/31/2006,Original,,6f9c69780acff3dace625ffceaa0f91f2e7e5e3a4c4fa1af2ead9900eb33d9b6,12/09/2024
15720-85F,10051-21,TPG,Direct Investment,Current,,10/04/2017,Original,,4e852d7a96563cd94d18a68eec595d583b1861b0f7e9ba724e80b6f11c40da1c,12/09/2024
11032-30F,10065-16,Camden Partners,Fund of Funds,Current,4.00,01/01/2005,Original,,55b2ec7b80991cc8464389b4905320f4a974f9af2fc5eff52922a35535c8ea93,12/09/2024
20362-78F,10066-15,Kohlberg Kravis Roberts,Private Investment Fund,Current,,,Original,,ef48647432e0dd4de36d47bf624397c51141407655c7384761ece3bcf5283692,12/09/2024
11644-30F,10071-01,JP Morgan Asset Management,Money Management Firm,Current,5.00,06/22/2010,Original,,b5396ad66d601d4bec2cab0c2dcd6d04e8ce60dce33c08d66d3a6a4208fd0511,12/09/2024
18867-70F,10071-01,JP Morgan Asset Management,Money Management Firm,Current,,07/14/2023,Original,,414059b8bce474c479cf0bc9859272d2ed979f6bf16623003a4011a43097d652,12/09/2024
11120-14F,10071-37,Pathway Capital Management,Fund of Funds,Current,,01/01/2001,Original,,b781fda3db2f81b7b6932180688b917d37928bf149bc95ca652430cd1253627b,12/13/2024
11190-16F,10071-37,Pathway Capital Management,Fund of Funds,Current,,12/31/2001,Original,,b6d4c83d689f2507e802b7f51acf3dcc12b3639b75c06171201839f8606cfbb0,12/09/2024
20896-30F,10071-37,Pathway Capital Management,Fund of Funds,Current,,02/16/2022,Original,,8b566b3254c3b9a007d87db82590e9c4b70e021365c15eff70c54c494ff60aae,12/09/2024
11190-16F,10072-09,Northleaf Capital Partners,Fund of Funds,Current,,12/31/2001,Original,,c59450be8d575f714dd0d24b4db3aaa27cd66f42ae64e95ca4aa8a4b77fbc5cb,12/09/2024
16468-66F,10072-09,Northleaf Capital Partners,Fund of Funds,Current,,10/17/2018,Original,,f3529b38780e80f8db18b497a2f8ef1f8be2afa9048de9cffbae1694872b55ee,12/09/2024
13376-17F,10089-64,Granite Bridge Partners,Direct Investment,Current,,10/19/2011,Original,,fb026df5d5260bd2b081531e4439cfe9e157694315362f986a103dd9d66d7539,12/09/2024
15720-85F,10091-08,Bank of America,Banking Institution,Current,,10/04/2017,Original,,a7e57a565f64257dad50dece9d46a1e6491957dc0cb1c0aed93deb63c470f23b,12/09/2024
16813-90F,10091-08,Bank of America,Banking Institution,Current,5.00,03/02/2022,Original,,005dbe6c92164c2168e74e9be7a3d56ca13a48ecd2a4f6d4a642f69c3bb108b1,12/09/2024
16893-64F,10091-08,Bank of America,Banking Institution,Current,,05/17/2021,Original,,6b160a6fa9664df88be05d1f3e4d2be5d4cc5e2019e46deecdb65236d42d8dd6,12/09/2024
18867-70F,10091-08,Bank of America,Banking Institution,Current,,07/14/2023,Original,,6f6c837e8f23672c979353bf45662213059eebe221df33727e5c5de2620cc6cc,12/09/2024
11588-14F,10102-33,Schroders,Money Management Firm,Current,5.16,10/17/2007,Original,,21f12939ec31236a9614b2c084b7be301d643dfd09f145333879a80755039620,12/09/2024
17722-00F,10102-33,Schroders,Money Management Firm,Current,,09/30/2023,Original,,a256ed4854efa8d168c20d2edc6ee01e4d064881daf50125620e483a4a453584,12/09/2024
15459-85F,10106-02,Fund Evaluation Group,Investment Advisor,Current,,04/12/2016,Original,,7a9cfa6cc955118fa150f0aaf22a32a9cf364cf14223d78e5b8f833e6dc3d722,12/09/2024
11032-12F,10115-11,Portfolio Advisors,Fund of Funds,Current,,01/01/2001,Original,,9a297a51e7054cca0ea002b29c44157a5579b45c5d32bf01a62c6a6cc9fa4fc3,12/10/2024
11032-30F,10115-11,Portfolio Advisors,Fund of Funds,Current,,01/01/2005,Original,,2488118105ad8bef4886ac420bdc2dd4a359002ca022730155fc1b010cb18a31,12/09/2024
17053-48F,10123-03,General Catalyst,Direct Investment,Current,,12/31/2021,Original,,9a7fb0416374f04fd2cf1370906c3f6cfc1737ca14c13027e34eb6f2bd442227,12/09/2024
23850-64F,10123-03,General Catalyst,Direct Investment,Current,,01/01/2022,Original,,3e7e5aab06a28e26881107b9871f4ec499f73dde2cec579e9ac5e7c58846d67c,12/09/2024
15838-57F,10150-21,Fortress Investment Group,Money Management Firm,Current,,,Original,,efc7f34b106d83c2aa3e7da27ba344f9c339fb8754829280c435fcb4f4bdbe7d,12/09/2024
16805-44F,10163-71,Rabobank Group,Banking Institution,Current,,12/31/2019,Original,,26a4374d50da2fe9485497ec7dbea00b7921bb2a2591d1b7e0c3ecc80ed163f4,12/09/2024
12702-34F,10187-83,American International Group,Insurance Company,Current,,09/09/2014,Original,,a82f13f1f3398f3802292d0e6b8c40f675a2375ccfe807483513ea51db66b42e,12/09/2024
17808-31F,10193-50,KDDI,Corporation,Current,,05/07/2019,Original,,49a95632f324ee4b9ab86f87b08c36a1d5c8d706e45f767bfbda42fd8fd66df7,12/09/2024
11032-30F,10220-50,AlpInvest Partners,Fund of Funds,Current,,01/01/2005,Original,,bb78ad772e4eb513eeb0d2ded8b92779f985f4f89e5722a2f6612311b4faaffa,12/09/2024
11643-31F,10220-50,AlpInvest Partners,Fund of Funds,Current,,03/17/2008,Original,,3ca2c0fa931d7be998984694d398f74d67c28acb04902172b537724c82b05530,12/09/2024
16326-19F,10238-95,Starwood Capital Group,Private Investment Fund,Current,,07/17/2019,Original,,4d72966863daab2b211e6f4b7c9ea7844d7ca0e9819903ba58c32d31473002d4,12/09/2024
20795-59F,10238-95,Starwood Capital Group,Private Investment Fund,Current,,10/15/2021,Original,,0356fcd68d7388aa22647879ca7bc412952c5db6153ee4d7996c6ef5c159b618,12/09/2024
11120-14F,10263-97,Northwestern Mutual,Insurance Company,Current,5.00,04/24/2001,Original,,d116f12b3e191fb575dbd7c7b60c369e1ca24ee8fdab73512959bc5e56753ad6,12/13/2024
16403-23F,10263-97,Northwestern Mutual,Insurance Company,Current,,07/10/2019,Original,,5a59ca12e412039d48dece93f5012c96783b659ca3318e6d678f5552de57c32b,12/09/2024
16441-03F,10263-97,Northwestern Mutual,Insurance Company,Current,,12/03/2019,Original,,db0ad6dbd617729cfbb1a3eb9bc752c5a0a9fe9a5ae101735b7b7e002dad5446,12/09/2024
11144-89F,10331-11,Insight Partners,Direct Investment,Current,,01/01/2000,Original,,3c58afb1e47d64cf7b0e9f77c29b0201e06a581af896e25569c4f373b5efbafd,12/09/2024
12949-03F,10331-11,Insight Partners,Direct Investment,Current,,04/05/2011,Original,,087cdcaaa4c8ab239f535d48efbaef4aa07add22be735cbedd8567643dab572c,12/09/2024
11190-16F,10332-01,Mesirow Financial,Investment Advisor,Current,7.00,12/31/2001,Original,,4be60bd53a5a82dc5b814ff0bdb4aead4c74c13ac121463a2d35edc57d725994,12/09/2024
11190-16F,10332-01,Mesirow Financial,Investment Advisor,Current,,12/31/2001,Original,,f31ef72979a485fef2f9403ffe553a505cfb4f8fc221e8da437cffc4545a71b2,12/09/2024
15327-19F,10332-01,Mesirow Financial,Investment Advisor,Current,20.00,11/05/2015,Original,,da5855ce681ad57db0c0ef4dfa3fc7295996f9cef51e78055179aef25040bbc5,12/13/2024
15481-36F,10332-01,Mesirow Financial,Investment Advisor,Current,12.00,03/08/2016,Original,,94dd8a99943a8dce00e2dd9ab80ba318314768a62dc92e0196c1e05b59794285,12/09/2024
16033-87F,10332-01,Mesirow Financial,Investment Advisor,Current,15.00,07/25/2017,Original,,579c43cee5d73fd928c58150af9781b3d963f65228ed6f5277721fbf2fb4bc84,12/16/2024
16033-87F,10332-01,Mesirow Financial,Investment Advisor,Current,,07/25/2017,Original,,3cccaaf493274bd1bcaa128b894ac8bef7191590e020275230466723efb49253,12/16/2024
16239-88F,10332-01,Mesirow Financial,Investment Advisor,Current,7.00,07/10/2018,Original,,44cc24ae88280d2da31331295016e1f0065c823d45bceed51f823613b38c445e,12/09/2024
16239-88F,10332-01,Mesirow Financial,Investment Advisor,Current,,07/10/2018,Original,,fd0b70708164edb4a66ff66bcfff0fda4011f9298f233ef5dc6d8aba2fbeb705,12/09/2024
16239-97F,10332-01,Mesirow Financial,Investment Advisor,Current,,06/21/2019,Original,,2e08f35aa887497240cec10503e9a8402a4d46da43d2f601daacb1725853dcf4,12/09/2024
16239-97F,10332-01,Mesirow Financial,Investment Advisor,Current,,06/21/2019,Original,,a57c15f20658dd7b7b81b298cf7a297073632e5763c54a52251a7da3abf67d97,12/09/2024
16604-56F,10336-87,British Columbia Investment Management,Money Management Firm,Current,,09/29/2020,Original,,e94da87efdf928ca823a7f8602094c24a26faa05d16d2fe394eab3bd959a4847,12/09/2024
20795-59F,10336-87,British Columbia Investment Management,Money Management Firm,Current,,10/15/2021,Original,,cf30ba20f4ac381601569ab5ca7674c779f8a3100b2e629dbabb2c9f22bfb890,12/09/2024
11117-62F,10339-57,Caisse de dépôt et placement du Québec,Public Pension Fund,Current,,05/01/2001,Original,,4f1252056140c23898a44c2cdd5d06674438b9c87eeb81f8d56991b8d011af6f,12/09/2024
13374-28F,10339-57,Caisse de dépôt et placement du Québec,Public Pension Fund,Current,,01/01/1999,Original,,03ad1ba9d6e911d32b74f8763f32741f1f3543764f041716f9ddbf5638cc4f04,12/09/2024
16326-19F,10339-57,Caisse de dépôt et placement du Québec,Public Pension Fund,Current,,07/17/2019,Original,,884d5e014ea27997a433f7478c83daa94d055457af7ceac2dbce0c8dae930776,12/09/2024
16839-64F,10339-57,Caisse de dépôt et placement du Québec,Public Pension Fund,Current,,12/03/2019,Original,,0478d5b49bef9abb03eabbcfc89f6a516861896ef9bf20b55683cd3938566b5e,12/09/2024
18170-38F,10339-57,Caisse de dépôt et placement du Québec,Public Pension Fund,Current,,11/20/2020,Original,,e9579cd2942d26f75f8564fece4004dea3eb879984218f1fbc31f4d4c6ddec9a,12/10/2024
18492-13F,10339-57,Caisse de dépôt et placement du Québec,Public Pension Fund,Current,30.00,07/21/2022,Original,,4a5b4124aa9f1c55fd1847d59ba82563c51c00d76f30ce529fcd390bc1724e2b,12/09/2024
18681-13F,10339-57,Caisse de dépôt et placement du Québec,Public Pension Fund,Current,,03/01/2022,Original,,f9b05f38b1a608020fd582c1feb7f5db0da55c988ba4fdf052f6bce81c96c19f,12/09/2024
16332-94F,10350-64,Sumitomo Mitsui Banking,Banking Institution,Current,,12/31/2019,Original,,4a571ef9038b52b4650c67a7ebe43812cfc057e51ece53c63135a9c038f4316a,12/09/2024
11711-53F,10366-57,Wellcome Trust,Foundation,Current,,10/26/2007,Original,,4130846526227c093e39769200f0ef1e52e709119f13e23a35029c590de2c881,12/09/2024
11711-62F,10366-57,Wellcome Trust,Foundation,Current,,10/26/2007,Original,,1f4b52e9c911ffc24b223ffde1466bc357292aba6bbc992cd1b77b7b208b7aa2,12/09/2024
12701-08F,10366-57,Wellcome Trust,Foundation,Current,,07/06/2010,Original,,b662fb64b80dadd7ab1d0cf38dabf2e0a6945ba849cc602932900b852eb83c9e,12/09/2024
12973-06F,10366-57,Wellcome Trust,Foundation,Current,,01/24/2008,Original,,e1ba287f085132153076301523715080411c8213b5ef5850d8046919483f6da4,12/16/2024
13345-39F,10366-57,Wellcome Trust,Foundation,Current,,08/22/2011,Original,,81e09d4a1e81ec8f22e916980f6a19f7ee0b872565b9824a7f4b478298e7d996,12/09/2024
15445-90F,10367-47,HBM Healthcare Investments,Fund of Funds,Current,15.00,01/01/2014,Original,,f5aa466e12d4588f99a822bf3cb89b699c3861d9296e81ffaff354bc7e00e782,12/13/2024
21897-46F,10375-66,Legacy Partners,Real Estate Investment Company,Current,,05/31/2024,Original,,eb3c77427475a3066453ed38a16eda581f30f97c2c70c102e93dafa239089f07,12/09/2024
15997-87F,10377-82,Cushman & Wakefield (Acquired in 2015),Real Estate Investment Company,Former,,06/20/2018,Original,,3284a78f519c7208eda87f1c1e1d3b1020249ac4c608f0a669985710ab3cc4ab,12/09/2024
16326-19F,10377-82,Cushman & Wakefield (Acquired in 2015),Real Estate Investment Company,Former,,07/17/2019,Original,,3569c7239baf28a29a5afb00d48dd6de221b02f6b7270f332d8af1d537052a87,12/09/2024
15603-58F,10381-33,CBRE Group,Real Estate Investment Company,Current,,05/01/2017,Original,,fdaee1f99896739a0ab20126b880dd2a88d56c6c63eab6868a21147efef3983a,12/09/2024
16326-19F,10381-33,CBRE Group,Real Estate Investment Company,Current,,07/17/2019,Original,,8304ef0b920b50ede6b7330feed5eb600bd3429f2f8270767836b74c39575cde,12/09/2024
16468-66F,10410-67,Kensington Capital Partners,Fund of Funds,Current,,10/17/2018,Original,,18e27b0e87f21c39fbd90bbbe0f614ad50ece500cb9712b0e901d31edb0d8e68,12/09/2024
18492-13F,10410-67,Kensington Capital Partners,Fund of Funds,Current,,07/21/2022,Original,,6cf3a5dce58a4c1e4b913893d9099e830dc7b80e17f1b2de23042edb912237a5,12/09/2024
12702-34F,10429-93,Nuveen,Money Management Firm,Current,,06/13/2014,Original,,e0d72e8bfdf481faa7a87eccf0422c801539d61c856c6ca2e43499afdb67fa97,12/09/2024
11120-14F,10430-92,Stifel Financial,Banking Institution,Current,,01/01/2001,Original,,0af1d3b18c3a27cae6f4c868feaf3b851d97689d91fe85291b5053e0b2326696,12/13/2024
16261-93F,10453-33,Alphabet,Corporation,Current,,12/05/2019,Original,,5b4b4aeaf3e9465914f53e245bf285fd8f2053af036e0877b365f2057ed85aa9,12/09/2024
