FundID,LimitedPartnerID,LimitedPartnerName,LimitedPartnerType,RowID,LastUpdated
11005-39F,52604-29,Ford Motor Company Master Trust Fund,Corporate Pension,65c6a88193842492562a54cee54fe80f8d74c507ef897bfebf825bbfe8052a74,12/09/2024
11005-39F,109513-90,Ford Motor Company Trust Fund Private Equity,Corporate Pension,c6ae91961fd0d87fde4c177593d7192ce8a3caffa7aef81927c9aee5cb5219c5,12/09/2024
11005-39F,129115-90,Ford Motor Company Trust Fund Hedge Funds,Corporate Pension,828d987ca29f8a0d37d080ca323f066a9531ec1119fc27afadf994ab54ba97b4,12/09/2024
11010-43F,11543-05,Stichting Pensioenfonds ABP,Public Pension Fund,348ead4d2971971df4d64fa06488e7ca758224a1e001e98bdd285c72de63fedd,12/09/2024
11010-43F,11123-74,BellSouth,Corporation,b474afe730fa5bc753e88dc9d02c53fa94c5186e3825992da772d25b9bd0abd1,12/09/2024
11010-43F,11564-29,DUMAC (Durham),Endowment,c545967cab7e44ba1df3a5d69691a4cd3edc9dc097be45c6ac7e453e93ccab00,12/09/2024
11010-43F,11575-63,IBM Personal Pension Plan,Corporate Pension,cae0e92f5ce29cdb292babbfa066d48b8f6793573a07ebeb64728a3656bb55d3,12/09/2024
11010-43F,11612-71,Park Street Capital,Fund of Funds,7da7a28c6aee154c0797674def416402a182bbfab5f8cd9edf04c6c8a5ea43ef,12/09/2024
11010-43F,52609-69,Honeywell International Master Retirement Trust,Corporate Pension,cb5dfeb3cfd86b9e82e57da1139aa9a06089a48704ff3fb7caba992a59e84091,12/09/2024
11010-43F,52526-62,Ameren Retirement Plan,Corporate Pension,ded1479048cd57364be43902b49de01de1e319d41e15bbad09c9a9b4ac6313ce,12/09/2024
11010-43F,10817-65,DirecTV,Corporation,f09a6cda08d782e435983abac6a548aa312e27543537b419267f6f073b0c3d99,12/09/2024
11010-43F,41494-87,MasterCard,Corporation,018742d7c57a03fe73d064104b50b6a3bdcc3c1079441435e60ebced63c06334,12/09/2024
11010-43F,41961-97,Spark New Zealand,Corporation,09f92d519edb81d260cfa2a2b1e19669b00b843dabc54f5bfe3069b2fefed6b4,12/09/2024
