InvestorID,EntityType,IsPrimary,RowID,LastUpdated
10014-49,Investor,Yes,621779f785f333cae624340e2a876b920d452a606f2d37c341ae367d4fa63bdd,12/09/2024
11398-69,Investor,No,d50b16b938dc16a78fa5d8ae56c1acecfc3890c87eee6b1c1ad9ff8ba78f3f46,12/09/2024
10014-49,Limited Partner,No,329257986412b99690ca967653da0f31e9de05e7d31fa5b1c9e958aad3983898,12/09/2024
11398-69,Company,Yes,61e7569cb6578d0324de894941c3e62e399406f6fab45fb04344223a7cc91a1b,12/09/2024
10014-49,Service Provider,No,cf9ff2c1e2078cc842ac373102ece8a3c7f35bb345841ef3b26ef45ca41916f7,12/09/2024
11409-76,Investor,Yes,9a748126a6ca92b3e71be5555a22c7dc3414c004dbb978a7972a47a66289c830,12/09/2024
10014-49,Company,No,d7329c3d4b0f2de1925ebc65bcd878effed9dc0985293b321ab20070527cb68c,12/09/2024
11409-76,Service Provider,No,a7873deedeff0b9823968bc95b4580ea922f718f7b131e971b306d5efebfa8d1,12/09/2024
10014-85,Investor,No,a773091af31a3e2f5d9afe813d5bcb336484c98cb22c2e37008cc1b594b4232f,12/09/2024
11453-59,Investor,No,5a314043936e2634968c12dea60c539a8327d39b06f0152d36ee70b59ce2f0e3,12/09/2024
10014-85,Service Provider,Yes,c6eebb726e7c71446b4f8fca51d02471570efdf1ac6dcb99225e1b0a5b590dc4,12/09/2024
11453-59,Company,Yes,e8e1e57d8e99f0c71898e06b00832e37bc2264c22ec1c25344e91eb48fa35e85,12/09/2024
10014-85,Company,No,410c118014ce7abef12a893f35c9c4168b11d9f36e4725f9470e1fea1c9741f8,12/09/2024
11474-47,Investor,Yes,0f6a7c9d4b2a16fe3ebbb06a487f0b82d59753c95cd84dafe26ba68ed82ce0e8,12/09/2024
10015-12,Investor,Yes,91e5fa020f850fa8c1f485656b0ead32f732f0032414cee413fe67d8e9000e6c,12/09/2024
42336-37,Investor,Yes,a1c3945b0403100e243937ffb2943a802b4c2cb5588ff6c2a38cdfe2bcb7669c,12/09/2024
10018-18,Investor,No,3234a03f4b839304e59fe12cc18b972672a0030e90c30a57b98b7ad9864d607e,12/09/2024
42336-37,Service Provider,No,5f0f5896845bcf7b40285c417f263287a9cec4075c298153dddd75d6634ea31f,12/09/2024
10018-18,Limited Partner,No,c1799953f61d3e1114dcacc768f27a0983044fc2ab72f5901074a55f4c84e7df,12/09/2024
42343-66,Investor,Yes,8cbe64b729d31cd799a995daee2174434e89c9b864884a8473de005a2e6c2044,12/09/2024
10018-18,Service Provider,Yes,a4aa42ce94d0f09e284bb8ecee317ac7797c17bdcda5027a96401586364ce7e7,12/09/2024
42343-66,Service Provider,No,bf729b6dab41dbc703322b95aa42484a258f7e5f251f05572a568dec0b16d058,12/09/2024
10018-18,Company,No,3653a7cc198ac8d071ef5bf223e758d77e967e49ee07e7e93168c4d3c5e9e56c,12/09/2024
42357-52,Investor,Yes,b204bab1d19930e3132cad6bf760a1fa50ccbb8442ed010ace53a3467e26015a,12/09/2024
10024-75,Investor,No,de90f97c106c2f8a0029dce92d8ebe6aa63abc0dda5bb6284675c83311486f9d,12/09/2024
42357-52,Limited Partner,No,49f7e56684facb081e66c04858131376f6fdef73fc4a8e262cef2b276e24152e,12/09/2024
10024-75,Limited Partner,No,318d6d4bfefd79b0fd5010c7ee3cf0c9e21c54e26e3cd2fe519d3af7ca5a06bf,12/09/2024
42357-52,Service Provider,No,8a24d3f3ac84e9d56dad8a4fc88c211c8557b5e0c45f83609cfb74b39ab14674,12/09/2024
10024-75,Service Provider,Yes,8743e68d54bff1466d9ae13cd6e2c2a2ed903316f9b455e311c49598bce79062,12/09/2024
42357-52,Company,No,856a36d5f08e861d0f6923b90a781b4f5e715693cd2acfbbf122b1d73476c795,12/09/2024
10024-75,Company,No,8028352b87838e4d8a550cd3d989ced672ffc78e63e97e2a39be81494fe31acf,12/09/2024
42361-84,Investor,Yes,cac55a8abea4d2bee10d61f487839d04a28a357ce6507e5c90b70d9d71d8fba4,12/09/2024
10035-64,Investor,No,4d1944615334cce1d14a432fd0ff8402d26ceb47ba0f6bd0247161741e930766,12/09/2024
42361-84,Limited Partner,No,c66e7cbd4bb320c043f2fdd54f1a53b2f8b6207defab787ec4a126ffa8903400,12/09/2024
10035-64,Limited Partner,No,a7ff89b2e236dd78bb31f7f5a3e8cae61d9b4ee445a97194298b48091bcfd096,12/09/2024
42381-46,Investor,No,ca9d3cf563ffc592b9f2e680a196d8ed113523c1539a0cb0b896076cd6cf2c4c,12/09/2024
10035-64,Company,Yes,a8e9fea657f1781f96a27daddf2dfe58eaf3a4339280e3e029f32ed4308afbd5,12/09/2024
42381-46,Limited Partner,No,484b5a754a5e70e5a859e27ae52572721c6806b2302e81a0d734c9daf43e0b48,12/09/2024
10037-35,Investor,No,906f5f82dd8fb9a4f4650da2d6956b083c6ddec951c8feaa56c29a7865ade2e5,12/09/2024
