InvestorID,LimitedPartnerID,LimitedPartnerName,LimitedPartnerLocation,Type,CommitmentsTo,LastCommitmentDate,LastCommitedFund,TotalCommitments,RowID,LastUpdated
482248-81,123921-01,Prashant Malik,"Dubai, United Arab Emirates",High-net-worth investor,1,,Blockchain Growth Fund,1,17719cc5ca2c7bd450a9616c370957963215b3f347a7ddc1ff5550a7fecab3c2,12/09/2024
166960-36,14146-84,Deep Fork Capital,"San Francisco, CA",Direct Investment,1,04/29/2022,The BUILD Fund,2,936ac2bc3997e80a2beec7e7d1313706e3d5c7d2c7cf26d7f7b0e88ac152bb58,12/09/2024
125084-71,234831-43,Silicon Valley Community Foundation Long-Term Growth Pool,"Mountain View, CA",Foundation,1,02/28/2019,Precursor Ventures II,28,181691d2a4a245349db420fd1f57e9ed6f0da0ad7aa0204f131574ebdd8ca59a,12/09/2024
11013-76,61867-45,Joint European Resources for Micro to Medium Enterprises,"Etterbeek, Belgium",Economic Development Agency,1,02/01/2022,Catalyst Romania Fund II,2,42e21636f0c45554bec05c63c7e456e20f2cd93b52f7068474da4067db10b827,12/09/2024
11313-73,60075-73,E. Oppenheimer & Son International,"Johannesburg, South Africa",Family Office (Multi),1,10/25/2013,Tana Africa Capital Fund,2,5147db6045da493d42aab3ae6bce0eda81828fa5653e2f9c1a5192ea7c764b89,12/09/2024
11217-34,53171-65,Eugene & Agnes E. Meyer Foundation,"Washington, DC",Foundation,1,06/19/2019,WILsquare Capital Partners Fund II,19,d5b7618f9cd1f3e9643ad8ecbbd6150f0a6d81816c725cd5d8283924d91a2175,12/09/2024
10014-49,152212-87,Retail Clerks Specialty Stores Pension Plan,"Concord, CA",Union Pension Fund,1,12/31/2014,Platte River Capital,3,e1e1a9b2cb56046c4f054eeaa44c3536f9e9a723c9af291b8ea32f8f23e3745f,12/09/2024
267987-97,53179-12,Josiah Macy Jr. Foundation,"New York, NY",Foundation,1,12/31/2022,HCP Private Equity Fund XI,39,783d4226513509fd581f02edf3121422abbbcf9550b380b655c5f0fd525d0c2c,12/09/2024
10768-06,62755-03,United Educators Insurance,"Bethesda, MD",Insurance Company,1,07/01/2013,BlackRock NTR Renewable Power Fund,1,8799b7e7e6656f4f95cd31e9976d853191eb66d63f3f76516cb5b635217fde03,12/09/2024
52695-82,53179-12,Josiah Macy Jr. Foundation,"New York, NY",Foundation,1,12/31/2022,HCP Private Equity Fund XI,39,0931db37082a8ff91321cd803fe5b1be058289b9cfed2de3f209868b8ebfa901,12/09/2024
10014-49,42379-75,Fort Worth Employees' Retirement Fund,"Fort Worth, TX",Public Pension Fund,1,12/31/2022,Ascentris Value Add Fund III,92,900d91efd085e379d7e63161a247b1ebe806b1a98a27a344a888eb33217944ee,12/09/2024
84034-54,53195-59,The Robert W. Wilson Charitable Trust,"New York, NY",Foundation,1,,Janus Henderson Multi-Strategy Master Fund,7,ed8fb5105f78cf1d82c7490ad30847edfc33aa3110d9c2d0287b578e1f1cf5dd,12/09/2024
10051-21,42379-75,Fort Worth Employees' Retirement Fund,"Fort Worth, TX",Public Pension Fund,3,12/31/2022,Ascentris Value Add Fund III,92,b0087fbc8f468cb6dafdfaae70800ee283bdcd2bbc0b8e5f2e3d6519c1703446,12/09/2024
11581-75,53196-94,Morningstar Foundation,"Bethesda, MD",Foundation,1,03/21/2017,Varde Fund XII,27,cdb6fc5c439d2f317dd20b4f3ec5e38a66883f03e30b99a09ea88de3c8084633,12/09/2024
13346-29,42379-75,Fort Worth Employees' Retirement Fund,"Fort Worth, TX",Public Pension Fund,1,12/31/2022,Ascentris Value Add Fund III,92,c70af7cb86355dd6a0d9def9c7f5ad8ef1a8a86a578898e0b76d15b437016de1,12/09/2024
11263-51,53196-94,Morningstar Foundation,"Bethesda, MD",Foundation,2,03/21/2017,Varde Fund XII,27,21d25e3a6618097657b62b69721910415bba339399f42371c2173aa223e71ea0,12/09/2024
10015-12,51512-86,Environment Agency Pension Fund,"Darlington, United Kingdom",Public Pension Fund,1,04/16/2024,SA Impact Forestry Fund,103,a30f31d4945c2298c9ef8ee87e1c6051a582936e3a33eaa0798c93440a04dda8,12/09/2024
11251-81,53196-94,Morningstar Foundation,"Bethesda, MD",Foundation,2,03/21/2017,Varde Fund XII,27,b588f175bb6002a14369abbabee1c776b806e3830f403ea9cee748e9ab439d54,12/09/2024
10791-37,51512-86,Environment Agency Pension Fund,"Darlington, United Kingdom",Public Pension Fund,4,04/16/2024,SA Impact Forestry Fund,103,c35c13f7ecfe048952c0f60d883d0d4601fd00d75cd058adaab513f770e8201b,12/09/2024
11227-60,53196-94,Morningstar Foundation,"Bethesda, MD",Foundation,1,03/21/2017,Varde Fund XII,27,8e8f3800c7e242a28df25cba1ec7851c501fb6c67861d0d4caebf3f231cd6687,12/09/2024
11166-58,51512-86,Environment Agency Pension Fund,"Darlington, United Kingdom",Public Pension Fund,1,04/16/2024,SA Impact Forestry Fund,103,7f88f0a3aacbf2b34dfff588b30081c93e9fd1e661f97821dcacf61982f7ffa8,12/09/2024
465742-90,53197-21,Bainum Family Foundation,"Bethesda, MD",Foundation,1,07/09/2021,Zeal Fund I,67,4f8c9c901955e73087acb156d389aa3090293a3e276bd8e6dafd5b42d2cf87d1,12/09/2024
11524-42,51512-86,Environment Agency Pension Fund,"Darlington, United Kingdom",Public Pension Fund,2,04/16/2024,SA Impact Forestry Fund,103,518a5eb80fda491f3955f67a46dcd4195f71d9f66b57b9b66b22540b4a523cbc,12/09/2024
265238-92,53197-21,Bainum Family Foundation,"Bethesda, MD",Foundation,2,07/09/2021,Zeal Fund I,67,d8c49ab590c7827901ef5fe0d7027e9f9333df43fcb87fc3c5dd2f0ccaf7b157,12/09/2024
55424-26,51512-86,Environment Agency Pension Fund,"Darlington, United Kingdom",Public Pension Fund,3,04/16/2024,SA Impact Forestry Fund,103,f7487f24cacd4f25b5853f87a9b3d44863a485a4b9e63bb23f7d254aa3212590,12/09/2024
97548-85,53197-21,Bainum Family Foundation,"Bethesda, MD",Foundation,5,07/09/2021,Zeal Fund I,67,de222314664590d23717a92a08229c731ffb0ea5959aaffd4187aaa0b6995351,12/09/2024
57388-87,51512-86,Environment Agency Pension Fund,"Darlington, United Kingdom",Public Pension Fund,1,04/16/2024,SA Impact Forestry Fund,103,1e83d76bffff66d546f1394f03731b0ff72b4d84126902b0e4800bd8df245cb7,12/09/2024
11228-50,53197-21,Bainum Family Foundation,"Bethesda, MD",Foundation,2,07/09/2021,Zeal Fund I,67,a92eb4bc9346b4ee4ea6a672d4f5828223793635488d8f03f6138e14186862f7,12/09/2024
10052-20,11158-39,Cross Creek Advisors,"Salt Lake City, UT",Fund of Funds,,08/24/2021,Fika Ventures III,4,550611d9c99a13949ec332218429e4568441f911ae020419749ab28f4e53d3e3,12/09/2024
