timestamp,question,response_text,sql_query,result_data
2024-12-31 18:27:17,Quantos funcionários tem a Wildlife?,Não foi possível encontrar informações sobre o número de funcionários da Wildlife. Sugiro verificar diretamente no site da empresa ou em fontes de notícias atualizadas.,"SELECT Employees
FROM company
WHERE CompanyName = 'Wildlife'",
2024-12-31 18:31:50,Quantos funcionários tem a Wildlife?,Não foi possível encontrar informações sobre o número de funcionários da Wildlife com base na consulta realizada. Sugiro buscar em outras fontes de informação para obter essa informação específica.,"SELECT Employees
FROM company
WHERE CompanyName = 'Wildlife'",
2024-12-31 18:38:47,"Existe alguma empresa com parte do nome Wildlife?
","Sim, existe uma empresa chamada Wildlife Studios.","SELECT CompanyName
FROM company
WHERE CompanyName LIKE '%Wildlife%'
ORDER BY CompanyName;","[[""Wildlife Studios""]]"
2024-12-31 18:39:28,"Existe alguma empresa com parte do nome Wildlife?
","Sim, existe uma empresa chamada Wildlife Studios.","SELECT CompanyName
FROM company
WHERE CompanyName LIKE '%Wildlife%'
ORDER BY CompanyName;","[[""Wildlife Studios""]]"
2024-12-31 18:53:39,Quais as top 3 empresas com mais funcionários?,"As três empresas com mais funcionários são a Pemex com 126.000 funcionários, a Sadia com 60.580 funcionários e a MercadoLibre com 58.313 funcionários.","SELECT CompanyName, Employees
FROM company
ORDER BY Employees DESC
LIMIT 3;","[[""Pemex"", 126000], [""Sadia"", 60580], [""MercadoLibre"", 58313]]"
2024-12-31 18:54:25,Quantos funcionários tem a empresa Contango?,A empresa Contango possui 7 funcionários.,"SELECT Employees
FROM company
WHERE CompanyName = 'Contango';",[[7]]
2024-12-31 18:55:48,What is the businessstatus of Contango?,Contango is currently generating revenue.,"SELECT CompanyName, BusinessStatus
FROM company
WHERE CompanyName = 'Contango';","[[""Contango"", ""Generating Revenue""]]"
2025-01-01 22:28:32,Tell me quantitative facts about Contango,Contango was founded in 2021 and has raised a total of $4.0 million. They currently have 7 employees.,"SELECT CompanyName, TotalRaised, Employees, YearFounded
FROM company
WHERE CompanyName = 'Contango';","[[""Contango"", 4.0, 7, 2021]]"
2025-01-01 22:35:27,Existe alguma empresa com nome Wildlife?,"Não foi encontrada nenhuma empresa com o nome ""Wildlife"" nos registros.",SELECT CompanyName FROM company WHERE CompanyName = 'Wildlife';,
2025-01-01 22:35:53,Existe alguma empresa com nome parecido com Wildlife?,"Sim, existe uma empresa chamada Wildlife Studios.",SELECT CompanyName FROM company WHERE CompanyName LIKE '%Wildlife%',"[[""Wildlife Studios""]]"
2025-01-01 23:05:04,Fale-me sobre a Wildlife,"Desculpe, não foi encontrado nenhuma informação sobre a empresa Wildlife em nossa base de dados. Você gostaria de buscar por outra empresa?","SELECT CompanyName, Description, YearFounded, TotalRaised, Employees, HQCity, HQCountry, Website
FROM company
WHERE CompanyName = 'Wildlife'",
2025-01-01 23:09:17,Fale-me sobre a Wildlife,"Desculpe, mas não encontramos informações sobre a empresa Wildlife em nossa base de dados. Você gostaria de saber sobre outra empresa ou tem alguma outra pergunta?","SELECT CompanyName, Description, YearFounded, TotalRaised, Employees, HQCity, HQCountry, Website
FROM company
WHERE LOWER(companyAlsoKnownAs) LIKE LOWER('%Wildlife%')","[[""Wildlife Studios"", ""Operator of a gaming studio intended to develop and publish mobile games. The company's studio offers different kinds of games such as arcade, battle royales and various other games that are compatible with different types of devices, enabling game enthusiasts to get access to a wide range of quality games."", 2011, 250.0, 800, ""Sao Paulo"", ""Brazil"", ""www.wildlifestudios.com""]]"
2025-01-01 23:25:54,Tell me about Wildlife,I found 1 record(s) for your query. Here is the data below.,"SELECT CompanyName, Description, Website FROM company WHERE Keywords LIKE '%Wildlife%' ORDER BY CompanyName","[[""Por un sue\u00f1o comunitario"", ""Provider of ecotourism services at the Ot\u00fan Quimbaya Wildlife and Flora Sanctuary. The company's services include accommodation, food, and environmental education experiences led by local environmental interpreters for the observation of fauna and flora of ecosystems of moorland, Andean and sub-Andean jungle, and dry tropical forest, enabling locality to generate local employment and develop local identity."", """"]]"
2025-01-02 00:05:23,Quantos funcionários tem a Wildlife?,A Wildlife possui 800 funcionários.,SELECT Employees FROM company WHERE LOWER(companyAlsoKnownAs) LIKE LOWER('%Wildlife%'),[[800]]
2025-01-02 00:05:52,Quantos funcionários tem a Wildlife?,A Wildlife possui 800 funcionários.,SELECT Employees FROM company WHERE LOWER(companyAlsoKnownAs) LIKE LOWER('%Wildlife%'),[[800]]
